cp_hex	char	count	block	category	name
U+7700	眀	251	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-7700
U+5FA9	復	239	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5FA9
U+5D14	崔	237	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5D14
U+81EA	自	236	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-81EA
U+61AC	憬	231	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-61AC
U+540C	同	229	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-540C
U+5F8C	後	226	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5F8C
U+53D7	受	223	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-53D7
U+77E5	知	223	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-77E5
U+5DF2	已	220	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5DF2
U+5FD7	志	216	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5FD7
U+89C0	觀	204	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-89C0
U+5F9E	從	201	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5F9E
U+4FAF	侯	200	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-4FAF
U+6C11	民	200	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6C11
U+592B	夫	199	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-592B
U+4EA8	亨	198	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-4EA8
U+904E	過	194	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-904E
U+5FC5	必	191	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5FC5
U+5B5A	孚	188	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5B5A
