block	distinct_codepoints	total_count
CJK Unified Ideographs	2390	125975
Geometric Shapes	1	409
Basic Latin	16	258
CJK Unified Ideographs Extension B	6	143
CJK Unified Ideographs Extension A	16	114
Yijing Hexagram Symbols	63	64
CJK Unified Ideographs Extension D	1	6
