cp_hex	char	count	block	category	name
U+4DF2	䷲	1	Yijing Hexagram Symbols	So	HEXAGRAM FOR THE AROUSING THUNDER
U+4DF3	䷳	1	Yijing Hexagram Symbols	So	HEXAGRAM FOR THE KEEPING STILL MOUNTAIN
U+4DF4	䷴	1	Yijing Hexagram Symbols	So	HEXAGRAM FOR DEVELOPMENT
U+4DF5	䷵	1	Yijing Hexagram Symbols	So	HEXAGRAM FOR THE MARRYING MAIDEN
U+4DF6	䷶	1	Yijing Hexagram Symbols	So	HEXAGRAM FOR ABUNDANCE
U+4DF7	䷷	1	Yijing Hexagram Symbols	So	HEXAGRAM FOR THE WANDERER
U+4DF8	䷸	1	Yijing Hexagram Symbols	So	HEXAGRAM FOR THE GENTLE WIND
U+4DF9	䷹	1	Yijing Hexagram Symbols	So	HEXAGRAM FOR THE JOYOUS LAKE
U+4DFA	䷺	1	Yijing Hexagram Symbols	So	HEXAGRAM FOR DISPERSION
U+4DFB	䷻	1	Yijing Hexagram Symbols	So	HEXAGRAM FOR LIMITATION
U+4DFC	䷼	1	Yijing Hexagram Symbols	So	HEXAGRAM FOR INNER TRUTH
U+4DFD	䷽	1	Yijing Hexagram Symbols	So	HEXAGRAM FOR SMALL PREPONDERANCE
U+4DFE	䷾	1	Yijing Hexagram Symbols	So	HEXAGRAM FOR AFTER COMPLETION
U+4DFF	䷿	1	Yijing Hexagram Symbols	So	HEXAGRAM FOR BEFORE COMPLETION
U+4E26	並	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-4E26
U+4E91	云	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-4E91
U+4E9F	亟	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-4E9F
U+4EE3	代	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-4EE3
U+4F0D	伍	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-4F0D
U+4F38	伸	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-4F38
U+4F3C	似	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-4F3C
U+4F43	佃	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-4F43
U+4F9D	依	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-4F9D
U+4FD7	俗	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-4FD7
U+4FDF	俟	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-4FDF
U+4FEE	修	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-4FEE
U+500D	倍	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-500D
U+501A	倚	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-501A
U+5026	倦	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5026
U+504F	偏	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-504F
U+5104	億	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5104
