cp_major	char_major	count_major	cp_minor	char_minor	count_minor	ratio_major_over_minor	types
U+7B87	箇	125858	U+500B	個	91800	1.371	kSemanticVariant,kSpecializedSemanticVariant
U+904D	遍	176870	U+5FA7	徧	91484	1.933	kSemanticVariant
U+56DB	四	3130857	U+8086	肆	91209	34.326	kSemanticVariant,kSpecializedSemanticVariant
U+7565	略	201592	U+7567	畧	91153	2.212	kSemanticVariant
U+81FA	臺	308457	U+53F0	台	89363	3.452	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+8591	薑	208596	U+59DC	姜	89276	2.337	kSimplifiedVariant,kTraditionalVariant
U+7159	煙	117094	U+70DF	烟	88454	1.324	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+5236	制	576009	U+88FD	製	85925	6.704	kSimplifiedVariant,kTraditionalVariant
U+8FA8	辨	211566	U+8FAF	辯	84772	2.496	kSemanticVariant
U+6B74	歴	140945	U+6B77	歷	83570	1.687	kSemanticVariant
U+975C	靜	205745	U+9759	静	82273	2.501	kSimplifiedVariant,kTraditionalVariant
U+6B72	歲	288426	U+6B73	歳	78828	3.659	kSemanticVariant
U+6801	栁	87851	U+67F3	柳	78648	1.117	kSemanticVariant
U+7DE3	緣	541245	U+7E01	縁	78484	6.896	kSemanticVariant
U+7159	煙	117094	U+5B8C	完	78073	1.500	kSemanticVariant
U+70DF	烟	88454	U+5B8C	完	78073	1.133	kSemanticVariant
U+6A2A	横	135345	U+6A6B	橫	77798	1.740	kSimplifiedVariant,kTraditionalVariant
U+5FA1	御	464710	U+79A6	禦	77008	6.035	kSimplifiedVariant,kTraditionalVariant
U+53EA	只	259726	U+7947	祇	76917	3.377	kSpecializedSemanticVariant
U+555F	啟	95305	U+5553	啓	76142	1.252	kSemanticVariant,kSpoofingVariant
U+65C1	旁	106429	U+508D	傍	75326	1.413	kSpecializedSemanticVariant
U+7FA3	羣	234275	U+7FA4	群	71838	3.261	kSemanticVariant
U+91CC	里	978477	U+88E1	裡	71799	13.628	kSimplifiedVariant,kTraditionalVariant
U+88CF	裏	197962	U+88E1	裡	71799	2.757	kSemanticVariant,kSpecializedSemanticVariant
U+6237	户	180743	U+6236	戶	71020	2.545	kSimplifiedVariant,kTraditionalVariant,kZVariant
U+5E76	并	207077	U+4F75	併	70200	2.950	kSimplifiedVariant,kTraditionalVariant
U+6E96	準	71285	U+51C6	准	70061	1.017	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+501F	借	93300	U+85C9	藉	69804	1.337	kSimplifiedVariant,kTraditionalVariant
U+5341	十	4915729	U+62FE	拾	69669	70.558	kSpecializedSemanticVariant
U+9ED1	黑	187653	U+9ED2	黒	69653	2.694	kZVariant
U+758F	疏	336492	U+758E	疎	69495	4.842	kSemanticVariant
U+6237	户	180743	U+6238	戸	69433	2.603	kZVariant
U+6236	戶	71020	U+6238	戸	69433	1.023	kZVariant
U+81E5	臥	97187	U+5367	卧	68233	1.424	kSemanticVariant
U+8108	脈	431647	U+8109	脉	64739	6.667	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+6DBC	涼	117731	U+51C9	凉	62922	1.871	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+98E2	飢	63132	U+9951	饑	62098	1.017	kSemanticVariant
U+7984	禄	109326	U+797F	祿	61754	1.770	kSimplifiedVariant,kTraditionalVariant
U+5C07	將	1208274	U+7586	疆	61663	19.595	kSpecializedSemanticVariant
U+6C7A	決	165335	U+51B3	决	61408	2.692	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+6C23	氣	1793416	U+7081	炁	61016	29.393	kSemanticVariant
U+9673	陳	714037	U+9663	陣	60975	11.710	kSpecializedSemanticVariant
U+53C3	參	469611	U+53C5	叅	60539	7.757	kSemanticVariant,kSpecializedSemanticVariant
U+5374	却	180227	U+537B	卻	60328	2.987	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+82DF	苟	70036	U+830D	茍	59876	1.170	kSemanticVariant
U+8346	荆	120070	U+834A	荊	59494	2.018	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+8303	范	116474	U+7BC4	範	59227	1.967	kSimplifiedVariant,kTraditionalVariant
U+4E94	五	3190765	U+4F0D	伍	57771	55.231	kSpecializedSemanticVariant
U+57DF	域	78924	U+8B7D	譽	56024	1.409	kSpecializedSemanticVariant
U+9451	鑑	71946	U+9452	鑒	55927	1.286	kSemanticVariant
U+5E72	干	197734	U+5E79	幹	55873	3.539	kSimplifiedVariant,kTraditionalVariant
U+4E8C	二	5104077	U+8CB3	貳	55662	91.698	kSemanticVariant,kSpecializedSemanticVariant
U+624D	才	307677	U+7E94	纔	54198	5.677	kSimplifiedVariant,kSpecializedSemanticVariant,kTraditionalVariant
U+722D	爭	129318	U+4E89	争	53941	2.397	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+6B4E	歎	142022	U+5606	嘆	53286	2.665	kSemanticVariant
U+51B0	冰	64099	U+6C37	氷	53133	1.206	kSemanticVariant
U+7199	熙	121852	U+7188	熈	53075	2.296	kSemanticVariant
U+5DE1	巡	108102	U+5EF5	廵	52979	2.040	kSemanticVariant
U+79D8	秘	87472	U+7955	祕	52166	1.677	kSemanticVariant
U+811A	脚	65348	U+8173	腳	52109	1.254	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+9065	遥	67522	U+9059	遙	51713	1.306	kSimplifiedVariant,kTraditionalVariant
U+665A	晚	121014	U+6669	晩	51159	2.365	kZVariant
