cp_major	char_major	count_major	cp_minor	char_minor	count_minor	ratio_major_over_minor	types
U+555C	啜	7351	U+6B3C	欼	18	408.389	kSemanticVariant
U+6B60	歠	1898	U+6B3C	欼	18	105.444	kSemanticVariant
U+9A5A	驚	184932	U+60CA	惊	17	10878.353	kSimplifiedVariant,kTraditionalVariant
U+6522	攢	8282	U+63DD	揝	17	487.176	kSpecializedSemanticVariant
U+9F8D	龍	637133	U+9F92	龒	16	39820.812	kSemanticVariant
U+677F	板	48043	U+95C6	闆	16	3002.688	kSimplifiedVariant,kTraditionalVariant
U+59C6	姆	2830	U+4F6C	佬	16	176.875	kSpecializedSemanticVariant
U+7E6D	繭	12134	U+8327	茧	14	866.714	kSimplifiedVariant,kTraditionalVariant
U+77A5	瞥	5169	U+82E4	苤	13	397.615	kSemanticVariant
U+8698	蚘	1514	U+75D0	痐	13	116.462	kSemanticVariant
U+5BB6	家	1157070	U+50A2	傢	11	105188.182	kSimplifiedVariant,kTraditionalVariant
U+5BF8	寸	221188	U+540B	吋	11	20108.000	kSpecializedSemanticVariant
U+76EA	盪	10963	U+28329	𨌩	11	996.636	kSpecializedSemanticVariant
U+903F	逿	184	U+28329	𨌩	11	16.727	kSpecializedSemanticVariant
U+8863	衣	554052	U+8864	衤	10	55405.200	kSemanticVariant,kSpecializedSemanticVariant
U+6E6E	湮	9277	U+51D0	凐	10	927.700	kSpoofingVariant
U+78B0	碰	11	U+63BD	掽	10	1.100	kSemanticVariant
U+5674	噴	9578	U+5460	呠	9	1064.222	kSemanticVariant
U+6B55	歕	842	U+5460	呠	9	93.556	kSemanticVariant
U+978B	鞋	11277	U+292E7	𩋧	8	1409.625	kSpecializedSemanticVariant
U+5835	堵	21331	U+937A	鍺	7	3047.286	kSpecializedSemanticVariant
U+9060	遠	192201	U+8FDC	远	6	32033.500	kSimplifiedVariant,kSpecializedSemanticVariant,kTraditionalVariant
U+9F4A	齊	656786	U+9F50	齐	5	131357.200	kSimplifiedVariant,kSpecializedSemanticVariant,kTraditionalVariant
U+4ED6	他	456944	U+7260	牠	5	91388.800	kSemanticVariant
U+56F0	困	101169	U+774F	睏	5	20233.800	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+5B83	它	23580	U+7260	牠	5	4716.000	kSemanticVariant,kSpecializedSemanticVariant
U+6FDB	濛	17577	U+9725	霥	5	3515.400	kSemanticVariant
U+9019	這	78150	U+8FD9	这	4	19537.500	kSemanticVariant,kSimplifiedVariant,kSpecializedSemanticVariant,kTraditionalVariant
U+522E	刮	8573	U+98B3	颳	4	2143.250	kSimplifiedVariant,kTraditionalVariant
U+5A20	娠	8488	U+36DB	㛛	4	2122.000	kSemanticVariant,kSpecializedSemanticVariant
U+8CFA	賺	3194	U+8D03	贃	4	798.500	kSemanticVariant,kSpecializedSemanticVariant
U+534C	卌	316	U+2099C	𠦜	4	79.000	kSpecializedSemanticVariant
U+5428	吨	37	U+5678	噸	4	9.250	kSimplifiedVariant,kTraditionalVariant
U+4F60	你	50846	U+88AE	袮	3	16948.667	kSpecializedSemanticVariant
U+59B3	妳	1739	U+88AE	袮	3	579.667	kSpecializedSemanticVariant
U+60A8	您	296	U+88AE	袮	3	98.667	kSpecializedSemanticVariant
U+7962	祢	161	U+88AE	袮	3	53.667	kSpecializedSemanticVariant
U+8868	表	352595	U+9336	錶	2	176297.500	kSimplifiedVariant,kTraditionalVariant
U+8A50	詐	41284	U+279FB	𧧻	2	20642.000	kSpecializedSemanticVariant
U+8CFA	賺	3194	U+27E16	𧸖	2	1597.000	kSpecializedSemanticVariant
U+86C4	蛄	2221	U+86CC	蛌	2	1110.500	kSemanticVariant
U+919F	醟	311	U+848F	蒏	2	155.500	kSimplifiedVariant,kTraditionalVariant
U+6454	摔	132	U+7529	甩	2	66.000	kSpecializedSemanticVariant
U+64C3	擃	10	U+652E	攮	2	5.000	kSemanticVariant
