cp_major	char_major	count_major	cp_minor	char_minor	count_minor	ratio_major_over_minor	types
U+5411	向	489760	U+66CF	曏	2135	229.396	kSimplifiedVariant,kTraditionalVariant
U+64A3	撣	457	U+63B8	掸	2	228.500	kSimplifiedVariant,kTraditionalVariant
U+5B19	嬙	1588	U+5AF1	嫱	7	226.857	kSimplifiedVariant,kTraditionalVariant
U+613E	愾	2709	U+5FFE	忾	12	225.750	kSimplifiedVariant,kTraditionalVariant
U+6AA3	檣	6526	U+6A2F	樯	29	225.034	kSimplifiedVariant,kTraditionalVariant
U+6F0A	漊	1350	U+6E87	溇	6	225.000	kSimplifiedVariant,kTraditionalVariant
U+9BF7	鯷	449	U+9CC0	鳀	2	224.500	kSimplifiedVariant,kTraditionalVariant
U+8207	與	2318259	U+4E0E	与	10398	222.952	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+87A2	螢	11336	U+8424	萤	51	222.275	kSimplifiedVariant,kTraditionalVariant
U+7232	爲	955109	U+4E3A	为	4318	221.192	kSimplifiedVariant,kTraditionalVariant
U+581D	堝	440	U+57DA	埚	2	220.000	kSimplifiedVariant,kTraditionalVariant
U+7570	異	709283	U+5F02	异	3237	219.117	kSimplifiedVariant,kTraditionalVariant
U+5EF3	廳	4796	U+5385	厅	22	218.000	kSimplifiedVariant,kTraditionalVariant
U+96FB	電	40700	U+7535	电	193	210.881	kSimplifiedVariant,kTraditionalVariant
U+6523	攣	8006	U+631B	挛	38	210.684	kSimplifiedVariant,kTraditionalVariant
U+4F47	佇	13884	U+4F2B	伫	66	210.364	kSimplifiedVariant,kTraditionalVariant
U+6F3F	漿	30053	U+6D46	浆	143	210.161	kSimplifiedVariant,kTraditionalVariant
U+8264	艤	2919	U+8223	舣	14	208.500	kSimplifiedVariant,kTraditionalVariant
U+562E	嘮	416	U+5520	唠	2	208.000	kSimplifiedVariant,kTraditionalVariant
U+6B1E	欞	201	U+68C2	棂	1	201.000	kSimplifiedVariant,kTraditionalVariant
U+6128	愨	200	U+60AB	悫	1	200.000	kSimplifiedVariant,kTraditionalVariant
