var_cp	var_char	reg_cp	reg_char	remarks
U+6653	晓	U+66C9	曉	src=GB2013
U+5520	唠	U+562E	嘮	src=GB2013
U+9E2D	鸭	U+9D28	鴨	src=GB2013
U+3A2A	㨪	U+6643	晃	src=GB2013,Var-to-Rep
U+6655	晕	U+6688	暈	src=GB2013
U+87A1	螡	U+868A	蚊	src=GB2013,Var-to-Rep
U+87C1	蟁	U+868A	蚊	src=GB2013,Var-to-Rep
U+3919	㤙	U+6069	恩	src=GB2013,Var-to-Rep
U+9E2F	鸯	U+9D26	鴦	src=GB2013
U+7F62	罢	U+7F77	罷	src=GB2013
U+9657	陗	U+5CED	峭	src=GB2013,Var-to-Rep
U+5CE9	峩	U+5CE8	峨	src=GB2013,Var-to-Rep
U+5CEF	峯	U+5CF0	峰	src=GB2013,Var-to-Rep
U+5706	圆	U+5713	圓	src=GB2013
U+8D3C	贼	U+8CCA	賊	src=GB2013
U+8D3F	贿	U+8CC4	賄	src=GB2013
U+8D42	赂	U+8CC2	賂	src=GB2013
U+8D43	赃	U+8D1C	贜	reg-also-variant-elsewhere:贜; src=GB2013
U+94B1	钱	U+9322	錢	src=GB2013
U+94B3	钳	U+9257	鉗	src=GB2013
U+94BB	钻	U+947D	鑽	src=GB2013
U+945A	鑚	U+947D	鑽	src=GB2013,Var-to-Rep
U+94BE	钾	U+9240	鉀	src=GB2013
U+94C1	铁	U+9435	鐵	src=GB2013
U+94C3	铃	U+9234	鈴	src=GB2013
U+94C5	铅	U+925B	鉛	src=GB2013
U+9206	鈆	U+925B	鉛	src=GB2013,Var-to-Rep
U+727A	牺	U+72A7	犧	src=GB2013
U+4E57	乗	U+4E58	乘	src=GB2013,Var-to-Rep
U+6909	椉	U+4E58	乘	src=GB2013,Var-to-Rep
U+654C	敌	U+6575	敵	src=GB2013
U+79EF	积	U+7A4D	積	src=GB2013
U+79F0	称	U+7A31	稱	src=GB2013
U+79D8	秘	U+79D8,U+7955	秘祕	reverse-dropped:祕→秘 (Var-to-Rep preferred over GB2013); var-also-canonical-elsewhere; reg-also-variant-elsewhere:秘; multi-target (2); src=GB2013,Var-to-Rep
U+7B14	笔	U+7B46	筆	src=GB2013,Var-to-Rep
U+54B2	咲	U+7B11	笑	src=GB2013,Var-to-Rep
U+7B0B	笋	U+7B0B,U+7B4D	笋筍	reverse-dropped:筍→笋 (Var-to-Rep preferred over GB2013); var-also-canonical-elsewhere; reg-also-variant-elsewhere:笋; multi-target (2); src=GB2013,Var-to-Rep
U+503A	债	U+50B5	債	src=GB2013
U+501F	借	U+501F,U+85C9	借藉	var-also-canonical-elsewhere; reg-also-variant-elsewhere:借; multi-target (2); src=GB2013
U+503E	倾	U+50BE	傾	src=GB2013
U+8D41	赁	U+8CC3	賃	src=GB2013
U+4FDB	俛	U+4FEF	俯	src=GB2013,Var-to-Rep
U+982B	頫	U+4FEF	俯	var-also-canonical-elsewhere; src=GB2013,Var-to-Rep
U+52CC	勌	U+5026	倦	src=GB2013,Var-to-Rep
U+4836	䠶	U+5C04	射	src=GB2013,Var-to-Rep
U+8EB3	躳	U+8EAC	躬	src=GB2013,Var-to-Rep
U+6147	慇	U+6BB7	殷	src=GB2013,Var-to-Rep
U+8230	舰	U+8266	艦	src=GB2013,Var-to-Rep
U+8231	舱	U+8259	艙	src=GB2013
U+62CF	拏	U+62FF	拿	src=GB2013,Var-to-Rep
U+39F1	㧱	U+62FF	拿	src=GB2013,Var-to-Rep
U+6310	挐	U+62FF	拿	src=GB2013,Var-to-Rep
U+8038	耸	U+8073	聳	src=GB2013
U+7231	爱	U+611B	愛	src=GB2013
U+9881	颁	U+9812	頒	src=GB2013
U+9882	颂	U+980C	頌	src=GB2013
U+8103	脃	U+8106	脆	src=GB2013,Var-to-Rep
U+80F7	胷	U+80F8	胸	src=GB2013,Var-to-Rep
U+8090	肐	U+80F3	胳	src=GB2013,Var-to-Rep
U+810F	脏	U+81DF,U+9AD2	臟髒	multi-target (2); src=GB2013
U+8110	脐	U+81CD	臍	src=GB2013
U+80F6	胶	U+81A0	膠	var-also-canonical-elsewhere; src=GB2013
U+8111	脑	U+8166	腦	src=GB2013
U+8113	脓	U+81BF	膿	src=GB2013
U+8C8D	貍	U+72F8	狸	src=GB2013,Var-to-Rep
U+9E35	鸵	U+9D15	鴕	src=GB2013
U+24C4A	𤱊	U+7559	留	src=GB2013,Var-to-Rep
U+3F5E	㽞	U+7559	留	src=GB2013,Var-to-Rep
U+7571	畱	U+7559	留	src=GB2013,Var-to-Rep
U+9E33	鸳	U+9D1B	鴛	src=GB2013
U+76B1	皱	U+76BA	皺	src=GB2013
U+997F	饿	U+9913	餓	src=GB2013
U+9981	馁	U+9912	餒	reg-also-variant-elsewhere:餒; src=GB2013
U+51C4	凄	U+51C4,U+60BD	凄悽	reverse-dropped:悽→凄 (Var-to-Rep preferred over GB2013); var-also-canonical-elsewhere; reg-also-variant-elsewhere:凄; multi-target (2); src=GB2013,Var-to-Rep
U+6DD2	淒	U+51C4,U+60BD	凄悽	reg-also-variant-elsewhere:凄; multi-target (2); src=GB2013,Var-to-Rep
U+604B	恋	U+6200	戀	src=GB2013,Var-to-Rep
U+6868	桨	U+69F3	槳	src=GB2013
U+6D46	浆	U+6F3F	漿	src=GB2013
U+84C6	蓆	U+5E2D	席	src=GB2013,Var-to-Rep
U+51C6	准	U+51C6,U+6E96	准準	var-also-canonical-elsewhere; reg-also-variant-elsewhere:准; multi-target (2); src=GB2013,Var-to-Rep
U+75C7	症	U+75C7,U+7665	症癥	var-also-canonical-elsewhere; reg-also-variant-elsewhere:症; multi-target (2); src=GB2013
U+658B	斋	U+9F4B,U+9F4A	齋齊	reg-also-variant-elsewhere:齋; multi-target (2); src=GB2013,Var-to-Rep
U+4E9D	亝	U+9F4B,U+9F4A	齋齊	reg-also-variant-elsewhere:齋; multi-target (2); src=GB2013,Var-to-Rep
U+52B9	効	U+6548	效	src=GB2013,Var-to-Rep
U+509A	傚	U+6548	效	src=GB2013,Var-to-Rep
U+79BB	离	U+96E2	離	src=GB2013,Var-to-Rep
U+8D44	资	U+8CC7	資	src=GB2013
U+8CB2	貲	U+8CC7	資	var-also-canonical-elsewhere; src=GB2013,Var-to-Rep
U+51C9	凉	U+51C9,U+6DBC	凉涼	reverse-dropped:涼→凉 (Var-to-Rep preferred over GB2013); var-also-canonical-elsewhere; reg-also-variant-elsewhere:凉; multi-target (2); src=GB2013,Var-to-Rep
U+7ADE	竞	U+7AF6	競	src=GB2013
U+9605	阅	U+95B2	閲	src=GB2013
U+7F3E	缾	U+74F6	瓶	src=GB2013,Var-to-Rep
U+70E6	烦	U+7169	煩	src=GB2013
U+70E7	烧	U+71D2	燒	src=GB2013
U+70DB	烛	U+71ED	燭	src=GB2013,Var-to-Rep
U+70DF	烟	U+70DF,U+7159	烟煙	reverse-dropped:煙→烟 (Var-to-Rep preferred over GB2013); var-also-canonical-elsewhere; reg-also-variant-elsewhere:烟; multi-target (2); src=GB2013,Var-to-Rep
U+83F8	菸	U+70DF	烟	reg-also-variant-elsewhere:烟; src=GB2013
U+9012	递	U+905E	遞	src=GB2013
U+6D9B	涛	U+6FE4	濤	src=GB2013
U+6DDB	淛	U+6D59	浙	src=GB2013,Var-to-Rep
U+6D9D	涝	U+6F87	澇	reg-also-variant-elsewhere:澇; src=GB2013
U+6DA1	涡	U+6E26	渦	src=GB2013
U+6D82	涂	U+6D82,U+5857	涂塗	var-also-canonical-elsewhere; reg-also-variant-elsewhere:涂; multi-target (2); src=GB2013
U+6DA4	涤	U+6ECC	滌	src=GB2013
U+6DA6	润	U+6F64	潤	src=GB2013
U+6DA7	涧	U+6F97	澗	src=GB2013
U+6DA8	涨	U+6F32	漲	src=GB2013
U+70EB	烫	U+71D9	燙	src=GB2013
U+6DA9	涩	U+6F80	澀	src=GB2013
U+6F81	澁	U+6F80	澀	src=GB2013,Var-to-Rep
U+6FC7	濇	U+6F80	澀	src=GB2013,Var-to-Rep
U+6D8C	涌	U+6D8C,U+6E67	涌湧	reverse-dropped:湧→涌 (Var-to-Rep preferred over GB2013); var-also-canonical-elsewhere; reg-also-variant-elsewhere:涌; multi-target (2); src=GB2013,Var-to-Rep
U+8A96	誖	U+6096	悖	src=GB2013,Var-to-Rep
U+7302	猂	U+608D	悍	src=GB2013,Var-to-Rep
U+60AF	悯	U+61AB	憫	src=GB2013
U+5BBD	宽	U+5BEC	寬	src=GB2013
U+5BB6	家	U+5BB6,U+50A2	家傢	var-also-canonical-elsewhere; reg-also-variant-elsewhere:家; multi-target (2); src=GB2013
U+91BC	醼	U+5BB4	宴	src=GB2013,Var-to-Rep
U+8B8C	讌	U+5BB4	宴	src=GB2013,Var-to-Rep
U+5BBE	宾	U+8CD3	賓	src=GB2013
U+7A8D	窍	U+7AC5	竅	src=GB2013
U+8BF7	请	U+8ACB	請	src=GB2013
U+8BF8	诸	U+8AF8	諸	src=GB2013
U+8BFA	诺	U+8AFE	諾	src=GB2013
U+8BFB	读	U+8B80	讀	src=GB2013
U+8BFD	诽	U+8AB9	誹	src=GB2013
U+889C	袜	U+896A	襪	src=GB2013,Var-to-Rep
U+97C8	韈	U+896A	襪	src=GB2013,Var-to-Rep
U+97E4	韤	U+896A	襪	src=GB2013,Var-to-Rep
U+8BFE	课	U+8AB2	課	src=GB2013
U+20587	𠖇	U+51A5	冥	src=GB2013,Var-to-Rep
U+3760	㝠	U+51A5	冥	src=GB2013,Var-to-Rep
U+8C01	谁	U+8AB0	誰	src=GB2013
U+8C03	调	U+8ABF	調	src=GB2013
U+21A18	𡨘	U+51A4	冤	src=GB2013,Var-to-Rep
U+5BC3	寃	U+51A4	冤	src=GB2013,Var-to-Rep
U+8C05	谅	U+8AD2	諒	src=GB2013
U+8C06	谆	U+8AC4	諄	src=GB2013
U+8C08	谈	U+8AC7	談	src=GB2013
U+8C0A	谊	U+8ABC	誼	src=GB2013
U+6073	恳	U+61C7	懇	src=GB2013
U+5267	剧	U+5287	劇	src=GB2013
U+5B43	孃	U+5A18	娘	src=GB2013,Var-to-Rep
U+96BE	难	U+96E3	難	src=GB2013,Var-to-Rep
U+9884	预	U+9810	預	reg-also-variant-elsewhere:預; src=GB2013
U+6852	桒	U+6851	桑	src=GB2013,Var-to-Rep
U+7EE2	绢	U+7D79	絹	src=GB2013
U+7EE3	绣	U+7D89	綉	reg-also-variant-elsewhere:綉; src=GB2013
U+9A8C	验	U+9A57	驗	src=GB2013
U+9A10	騐	U+9A57	驗	src=GB2013,Var-to-Rep
U+7EE7	继	U+7E7C	繼	src=GB2013
U+9A8F	骏	U+99FF	駿	src=GB2013
U+6BEC	毬	U+7403	球	src=GB2013,Var-to-Rep
U+7410	琐	U+7463	瑣	src=GB2013
U+24A0F	𤨏	U+7463	瑣	src=GB2013,Var-to-Rep
U+7460	瑠	U+7409	琉	src=GB2013,Var-to-Rep
U+74A2	璢	U+7409	琉	src=GB2013,Var-to-Rep
U+746F	瑯	U+7405	琅	src=GB2013,Var-to-Rep
U+3A17	㨗	U+6377	捷	src=GB2013,Var-to-Rep
U+6425	搥	U+6376	捶	src=GB2013,Var-to-Rep
U+642F	搯	U+638F	掏	src=GB2013,Var-to-Rep
U+63B7	掷	U+64F2	擲	src=GB2013
U+636E	据	U+636E,U+64DA	据據	var-also-canonical-elsewhere; reg-also-variant-elsewhere:据; multi-target (2); src=GB2013
U+3A3F	㨿	U+64DA	據	src=GB2013,Var-to-Rep
U+63BA	掺	U+647B	摻	src=GB2013
U+804C	职	U+8077	職	src=GB2013
U+8506	蔆	U+83F1	菱	src=GB2013,Var-to-Rep
U+841D	萝	U+863F	蘿	src=GB2013
U+8424	萤	U+87A2	螢	src=GB2013
U+8425	营	U+71DF	營	src=GB2013
U+8427	萧	U+856D	蕭	src=GB2013
U+8428	萨	U+85A9	薩	src=GB2013
U+68A6	梦	U+5922	夢	src=GB2013,Var-to-Rep
U+60CF	惏	U+5A6A	婪	src=GB2013,Var-to-Rep
U+6973	楳	U+6885	梅	src=GB2013,Var-to-Rep
U+69D1	槑	U+6885	梅	src=GB2013,Var-to-Rep
U+68C0	检	U+6AA2	檢	src=GB2013
U+6344	捄	U+6551	救	src=GB2013,Var-to-Rep
U+915D	酝	U+9196	醖	src=GB2013
U+53A2	厢	U+53A2,U+5EC2	厢廂	reverse-dropped:廂→厢 (Var-to-Rep preferred over GB2013); var-also-canonical-elsewhere; reg-also-variant-elsewhere:厢; multi-target (2); src=GB2013,Var-to-Rep
U+617D	慽	U+621A	戚	src=GB2013,Var-to-Rep
U+617C	慼	U+621A	戚	src=GB2013,Var-to-Rep
U+7855	硕	U+78A9	碩	src=GB2013
U+804B	聋	U+807E	聾	src=GB2013
U+88AD	袭	U+8972	襲	src=GB2013
U+8F85	辅	U+8F14	輔	src=GB2013
U+8F86	辆	U+8F1B	輛	src=GB2013
U+9885	颅	U+9871	顱	src=GB2013
U+772F	眯	U+772F,U+7787	眯瞇	reverse-dropped:瞇→眯 (Var-to-Rep preferred over GB2013); var-also-canonical-elsewhere; reg-also-variant-elsewhere:眯; multi-target (2); src=GB2013,Var-to-Rep
U+60AC	悬	U+61F8	懸	src=GB2013
U+57DC	埜	U+91CE	野	src=GB2013,Var-to-Rep
U+21428	𡐨	U+91CE	野	src=GB2013,Var-to-Rep
U+8DC3	跃	U+8E8D	躍	src=GB2013
U+7567	畧	U+7565	略	src=GB2013,Var-to-Rep
U+8675	虵	U+86C7	蛇	src=GB2013,Var-to-Rep
U+7D2F	累	U+7D2F,U+7E8D	累纍	var-also-canonical-elsewhere; reg-also-variant-elsewhere:累; multi-target (2); src=GB2013
U+5570	啰	U+56C9	囉	src=GB2013
U+5578	啸	U+562F	嘯	src=GB2013
U+5D2D	崭	U+5D84	嶄	src=GB2013
U+5D83	嶃	U+5D84	嶄	src=GB2013,Var-to-Rep
U+903B	逻	U+908F	邏	src=GB2013
U+5A74	婴	U+5B30	嬰	src=GB2013
U+94D0	铐	U+92AC	銬	src=GB2013
U+94DB	铛	U+943A	鐺	src=GB2013
U+94DD	铝	U+92C1	鋁	src=GB2013
U+94DC	铜	U+9285	銅	src=GB2013
U+94ED	铭	U+9298	銘	src=GB2013
U+94F2	铲	U+93DF	鏟	reg-also-variant-elsewhere:鏟; src=GB2013
U+94F6	银	U+9280	銀	src=GB2013
U+77EB	矫	U+77EF	矯	src=GB2013
U+7A2D	稭	U+79F8	秸	src=GB2013,Var-to-Rep
U+68C3	棃	U+68A8	梨	src=GB2013,Var-to-Rep
U+7282	犂	U+7281	犁	src=GB2013,Var-to-Rep
U+79FD	秽	U+7A62	穢	src=GB2013
U+8FFB	迻	U+79FB	移	src=GB2013,Var-to-Rep
U+7B3C	笼	U+7C60	籠	src=GB2013
U+507F	偿	U+511F	償	src=GB2013
U+5AAE	媮	U+5077	偷	src=GB2013,Var-to-Rep
U+8EAF	躯	U+8EC0	軀	src=GB2013
U+5160	兠	U+515C	兜	src=GB2013,Var-to-Rep
U+53DA	叚	U+5047	假	src=GB2013,Var-to-Rep
U+8845	衅	U+91C1	釁	src=GB2013,Var-to-Rep
U+8854	衔	U+929C	銜	src=GB2013
U+5563	啣	U+929C	銜	src=GB2013,Var-to-Rep
U+8858	衘	U+929C	銜	src=GB2013,Var-to-Rep
U+76D8	盘	U+76E4	盤	src=GB2013
U+8229	舩	U+8239	船	src=GB2013,Var-to-Rep
U+9E3D	鸽	U+9D3F	鴿	src=GB2013
U+655B	敛	U+6582	斂	src=GB2013
U+6B5B	歛	U+6582	斂	src=GB2013,Var-to-Rep
U+617E	慾	U+6B32	欲	src=GB2013,Var-to-Rep
U+7DB5	綵	U+5F69	彩	src=GB2013,Var-to-Rep
U+9886	领	U+9818	領	src=GB2013
U+811A	脚	U+811A,U+8173	脚腳	reverse-dropped:腳→脚 (Var-to-Rep preferred over GB2013); var-also-canonical-elsewhere; reg-also-variant-elsewhere:脚; multi-target (2); src=GB2013,Var-to-Rep
U+294D0	𩓐	U+8116	脖	src=GB2013,Var-to-Rep
U+8138	脸	U+81C9	臉	src=GB2013
U+591F	够	U+591F,U+5920	够夠	reverse-dropped:夠→够 (Var-to-Rep preferred over GB2013); var-also-canonical-elsewhere; reg-also-variant-elsewhere:够; multi-target (2); src=GB2013,Var-to-Rep
U+732A	猪	U+732A,U+8C6C	猪豬	reverse-dropped:豬→猪 (Var-to-Rep preferred over GB2013); var-also-canonical-elsewhere; reg-also-variant-elsewhere:猪; multi-target (2); src=GB2013,Var-to-Rep
U+730E	猎	U+7375	獵	src=GB2013
U+732B	猫	U+732B,U+8C93	猫貓	reverse-dropped:貓→猫 (Var-to-Rep preferred over GB2013); var-also-canonical-elsewhere; reg-also-variant-elsewhere:猫; multi-target (2); src=GB2013,Var-to-Rep
U+9985	馅	U+9921	餡	src=GB2013
U+9986	馆	U+9928	館	src=GB2013
U+8218	舘	U+9928	館	src=GB2013,Var-to-Rep
U+51D1	凑	U+51D1,U+6E4A	凑湊	reverse-dropped:湊→凑 (Var-to-Rep preferred over GB2013); var-also-canonical-elsewhere; reg-also-variant-elsewhere:凑; multi-target (2); src=GB2013,Var-to-Rep
U+51CF	减	U+51CF,U+6E1B	减減	reverse-dropped:減→减 (Var-to-Rep preferred over GB2013); var-also-canonical-elsewhere; reg-also-variant-elsewhere:减; multi-target (2); src=GB2013,Var-to-Rep
U+5EBB	庻	U+5EB6	庶	src=GB2013,Var-to-Rep
U+8534	蔴	U+9EBB	麻	src=GB2013,Var-to-Rep
U+83F4	菴	U+5EB5	庵	src=GB2013,Var-to-Rep
U+75D2	痒	U+7662	癢	src=GB2013,Var-to-Rep
U+65CB	旋	U+65CB,U+93C7	旋鏇	var-also-canonical-elsewhere; reg-also-variant-elsewhere:旋; multi-target (2); src=GB2013
U+6722	朢	U+671B	望	src=GB2013,Var-to-Rep
U+960E	阎	U+95BB	閻	src=GB2013
U+9610	阐	U+95E1	闡	src=GB2013
U+76D6	盖	U+84CB	蓋	src=GB2013,Var-to-Rep
U+7760	睠	U+7737	眷	src=GB2013,Var-to-Rep
U+89D5	觕	U+7C97	粗	src=GB2013,Var-to-Rep
U+9EA4	麤	U+7C97	粗	src=GB2013,Var-to-Rep
U+65AD	断	U+65B7	斷	src=GB2013,Var-to-Rep
U+517D	兽	U+7378	獸	src=GB2013
U+91EC	釬	U+710A	焊	var-also-canonical-elsewhere; src=GB2013
U+92B2	銲	U+710A,U+91EC	焊釬	reg-also-variant-elsewhere:釬; multi-target (2); src=GB2013,Var-to-Rep
U+9E3F	鸿	U+9D3B	鴻	src=GB2013
U+6DCB	淋	U+6DCB,U+75F2	淋痲	var-also-canonical-elsewhere; reg-also-variant-elsewhere:淋; multi-target (2); src=GB2013,Var-to-Rep
U+75F3	痳	U+6DCB,U+75F2	淋痲	reg-also-variant-elsewhere:淋; multi-target (2); src=GB2013,Var-to-Rep
U+6E10	渐	U+6F38	漸	src=GB2013
U+6BBD	殽	U+6DC6	淆	src=GB2013,Var-to-Rep
U+6E0A	渊	U+6DF5	淵	src=GB2013
U+5A6C	婬	U+6DEB	淫	src=GB2013,Var-to-Rep
U+6EDB	滛	U+6DEB	淫	src=GB2013,Var-to-Rep
U+6E14	渔	U+6F01	漁	src=GB2013
U+6E7B	湻	U+6DF3	淳	src=GB2013,Var-to-Rep
U+6DC0	淀	U+6DC0,U+6FB1	淀澱	var-also-canonical-elsewhere; reg-also-variant-elsewhere:淀; multi-target (2); src=GB2013
U+3D31	㴱	U+6DF1	深	src=GB2013,Var-to-Rep
U+6A11	樑	U+6881	梁	src=GB2013,Var-to-Rep
U+6E17	渗	U+6EF2	滲	src=GB2013
U+60ED	惭	U+615A	慚	src=GB2013
U+6159	慙	U+615A	慚	src=GB2013,Var-to-Rep
U+60E7	惧	U+61FC	懼	src=GB2013,Var-to-Rep
U+60CA	惊	U+9A5A	驚	src=GB2013
U+9847	顇	U+60B4	悴	src=GB2013,Var-to-Rep
U+60E8	惨	U+6158	慘	src=GB2013
U+60EF	惯	U+6163	慣	src=GB2013
U+2D075	𭁵	U+5BC7	寇	src=GB2013,Var-to-Rep
U+21A25	𡨥	U+5BC7	寇	src=GB2013,Var-to-Rep
U+375B	㝛	U+5BBF	宿	src=GB2013,Var-to-Rep
U+7A91	窑	U+7A91,U+7AAF	窑窯	reverse-dropped:窯→窑 (Var-to-Rep preferred over GB2013); var-also-canonical-elsewhere; reg-also-variant-elsewhere:窑; multi-target (2); src=GB2013,Var-to-Rep
U+7AB0	窰	U+7A91,U+7AAF	窑窯	reg-also-variant-elsewhere:窑; multi-target (2); src=GB2013,Var-to-Rep
U+8C0B	谋	U+8B00	謀	src=GB2013
U+8C0D	谍	U+8ADC	諜	src=GB2013
U+8C0E	谎	U+8B0A	謊	src=GB2013
U+8C10	谐	U+8AE7	諧	src=GB2013
U+7977	祷	U+79B1	禱	src=GB2013
U+7978	祸	U+798D	禍	src=GB2013
U+65E4	旤	U+798D	禍	src=GB2013,Var-to-Rep
U+8C13	谓	U+8B02	謂	src=GB2013
U+8C1A	谚	U+8AFA	諺	src=GB2013
U+8C1C	谜	U+8B0E	謎	src=GB2013
U+5F39	弹	U+5F48	彈	src=GB2013
U+5815	堕	U+58AE	墮	src=GB2013
U+968F	随	U+96A8	隨	src=GB2013
U+9690	隐	U+96B1	隱	var-also-canonical-elsewhere; src=GB2013
U+5A76	婶	U+5B38	嬸	src=GB2013
U+9887	颇	U+9817	頗	src=GB2013
U+9888	颈	U+9838	頸	src=GB2013
U+7EE9	绩	U+7E3E	績	src=GB2013
U+52E3	勣	U+7E3E	績	var-also-canonical-elsewhere; src=GB2013,Var-to-Rep
U+7EEA	绪	U+7DD2	緒	src=GB2013
U+7EED	续	U+7E8C	續	src=GB2013
U+9A91	骑	U+9A0E	騎	src=GB2013
U+7EF0	绰	U+7DBD	綽	src=GB2013
U+7EF3	绳	U+7E69	繩	src=GB2013
U+7EF4	维	U+7DAD	維	src=GB2013
U+7EF5	绵	U+7DBF	綿	src=GB2013
U+7DDC	緜	U+7DBF	綿	src=GB2013,Var-to-Rep
U+7EF7	绷	U+7DB3	綳	reg-also-variant-elsewhere:綳; src=GB2013
U+7EF8	绸	U+7DA2	綢	src=GB2013
U+7D2C	紬	U+7DA2	綢	src=GB2013,Var-to-Rep
U+7EFC	综	U+7D9C	綜	src=GB2013
U+7EFD	绽	U+7DBB	綻	src=GB2013
U+7EFF	绿	U+7DD1	緑	reg-also-variant-elsewhere:緑; src=GB2013
U+7F00	缀	U+7DB4	綴	src=GB2013
U+7439	琹	U+7434	琴	src=GB2013,Var-to-Rep
U+743C	琼	U+74CA	瓊	src=GB2013
U+6B35	欵	U+6B3E	款	src=GB2013,Var-to-Rep
U+5896	墖	U+5854	塔	src=GB2013,Var-to-Rep
U+8D82	趂	U+8D81	趁	src=GB2013,Var-to-Rep
U+8D8B	趋	U+8DA8	趨	src=GB2013,Var-to-Rep
U+63FD	揽	U+652C	攬	src=GB2013
U+9684	隄	U+5824	堤	src=GB2013,Var-to-Rep
U+613D	愽	U+535A	博	src=GB2013,Var-to-Rep
U+63F7	揷	U+63D2	插	src=GB2013,Var-to-Rep
U+63EB	揫	U+63EA	揪	src=GB2013,Var-to-Rep
U+8490	蒐	U+641C	搜	src=GB2013,Var-to-Rep
U+7151	煑	U+716E	煮	src=GB2013,Var-to-Rep
U+6400	搀	U+6519	攙	src=GB2013
U+6401	搁	U+64F1	擱	src=GB2013
U+6402	搂	U+645F	摟	src=GB2013
U+6405	搅	U+652A	攪	src=GB2013
U+671E	朞	U+671F,U+7A18	期稘	multi-target (2); src=GB2013,Var-to-Rep
U+8054	联	U+806F	聯	src=GB2013
U+3A9A	㪚	U+6563	散	src=GB2013,Var-to-Rep
U+585F	塟	U+846C	葬	src=GB2013,Var-to-Rep
U+26D4F	𦵏	U+846C	葬	src=GB2013,Var-to-Rep
U+8471	葱	U+8471,U+8525	葱蔥	reverse-dropped:蔥→葱 (Var-to-Rep preferred over GB2013); var-also-canonical-elsewhere; reg-also-variant-elsewhere:葱; multi-target (2); src=GB2013,Var-to-Rep
U+848B	蒋	U+8523	蔣	src=GB2013
U+8515	蔕	U+8482	蒂	src=GB2013,Var-to-Rep
U+97E9	韩	U+97D3	韓	src=GB2013
U+68F1	棱	U+68F1,U+7A1C	棱稜	reverse-dropped:稜→棱 (Var-to-Rep preferred over GB2013); var-also-canonical-elsewhere; reg-also-variant-elsewhere:棱; multi-target (2); src=GB2013,Var-to-Rep
U+68CA	棊	U+68CB	棋	src=GB2013,Var-to-Rep
U+7881	碁	U+68CB	棋	src=GB2013,Var-to-Rep
U+6936	椶	U+68D5	棕	src=GB2013,Var-to-Rep
U+692D	椭	U+6A62	橢	src=GB2013
U+506A	偪	U+903C	逼	src=GB2013,Var-to-Rep
U+53A8	厨	U+53A8,U+5EDA	厨廚	reverse-dropped:廚→厨 (Var-to-Rep preferred over GB2013); var-also-canonical-elsewhere; reg-also-variant-elsewhere:厨; multi-target (2); src=GB2013,Var-to-Rep
U+3551	㕑	U+53A8,U+5EDA	厨廚	reg-also-variant-elsewhere:厨; multi-target (2); src=GB2013,Var-to-Rep
U+53A6	厦	U+53A6,U+5EC8	厦廈	reverse-dropped:廈→厦 (Var-to-Rep preferred over GB2013); var-also-canonical-elsewhere; reg-also-variant-elsewhere:厦; multi-target (2); src=GB2013,Var-to-Rep
U+786E	确	U+78BA	確	src=GB2013
U+9D08	鴈	U+96C1	雁	src=GB2013,Var-to-Rep
U+988A	颊	U+9830	頰	src=GB2013
U+96F3	雳	U+9742	靂	src=GB2013
U+6682	暂	U+66AB	暫	src=GB2013
U+8E54	蹔	U+66AB	暫	src=GB2013,Var-to-Rep
U+7FD8	翘	U+7FF9	翹	src=GB2013
U+8F88	辈	U+8F29	輩	src=GB2013
U+51FF	凿	U+947F	鑿	src=GB2013
U+8F89	辉	U+8F1D	輝	src=GB2013
U+7147	煇	U+8F1D	輝	src=GB2013,Var-to-Rep
U+8D4F	赏	U+8CDE	賞	src=GB2013
U+7750	睐	U+775E	睞	src=GB2013
U+51A3	冣	U+6700	最	src=GB2013
U+3761	㝡	U+6700	最	src=GB2013,Var-to-Rep
U+6673	晳	U+6670	晰	src=GB2013,Var-to-Rep
U+55B7	喷	U+5674	噴	src=GB2013
U+7574	畴	U+7587	疇	src=GB2013
U+8DF5	践	U+8E10	踐	src=GB2013
U+9057	遗	U+907A	遺	src=GB2013
U+9F03	鼃	U+86D9	蛙	src=GB2013,Var-to-Rep
U+9E43	鹃	U+9D51	鵑	src=GB2013
U+5582	喂	U+5582,U+9935	喂餵	reverse-dropped:餵→喂 (Var-to-Rep preferred over GB2013); var-also-canonical-elsewhere; reg-also-variant-elsewhere:喂; multi-target (2); src=GB2013,Var-to-Rep
U+9927	餧	U+5582,U+9935	喂餵	reg-also-variant-elsewhere:喂; multi-target (2); src=GB2013,Var-to-Rep
U+55C1	嗁	U+557C	啼	src=GB2013,Var-to-Rep
U+8AE0	諠	U+55A7	喧	src=GB2013,Var-to-Rep
U+384C	㡌	U+5E3D	帽	src=GB2013,Var-to-Rep
U+8D4B	赋	U+8CE6	賦	src=GB2013
U+8D4C	赌	U+8CED	賭	src=GB2013
U+8D4E	赎	U+8D16	贖	src=GB2013
U+8D50	赐	U+8CDC	賜	src=GB2013
U+8D54	赔	U+8CE0	賠	src=GB2013
U+94F8	铸	U+9444	鑄	src=GB2013
U+94FA	铺	U+92EA	鋪	src=GB2013
U+8216	舖	U+92EA	鋪	src=GB2013,Var-to-Rep
U+94FE	链	U+93C8	鏈	src=GB2013
U+9500	销	U+92B7	銷	src=GB2013
U+9501	锁	U+9396	鎖	src=GB2013
U+93BB	鎻	U+9396	鎖	src=GB2013,Var-to-Rep
