var_cp	var_char	reg_cp	reg_char	remarks
U+4E4C	乌	U+70CF	烏	src=GB2013
U+51E4	凤	U+9CF3	鳳	src=GB2013
U+4E3A	为	U+7232	爲	reg-also-variant-elsewhere:爲; src=GB2013
U+6597	斗	U+6597,U+9B25	斗鬥	var-also-canonical-elsewhere; reg-also-variant-elsewhere:斗; multi-target (2); src=GB2013
U+9B26	鬦	U+9B25	鬥	src=GB2013,Var-to-Rep
U+9B2A	鬪	U+9B25	鬥	src=GB2013,Var-to-Rep
U+9B2D	鬭	U+9B25	鬥	src=GB2013,Var-to-Rep
U+5FC6	忆	U+61B6	憶	src=GB2013
U+8BA1	计	U+8A08	計	src=GB2013
U+8BA2	订	U+8A02	訂	src=GB2013
U+8BA4	认	U+8A8D	認	src=GB2013
U+5B82	宂	U+5197	冗	src=GB2013,Var-to-Rep
U+8BA5	讥	U+8B4F	譏	src=GB2013
U+4E11	丑	U+4E11,U+919C	丑醜	var-also-canonical-elsewhere; reg-also-variant-elsewhere:丑; multi-target (2); src=GB2013
U+961F	队	U+968A	隊	src=GB2013
U+529E	办	U+8FA6	辦	src=GB2013,Var-to-Rep
U+3565	㕥	U+4EE5	以	src=GB2013,Var-to-Rep
U+382F	㠯	U+4EE5	以	src=GB2013,Var-to-Rep
U+9093	邓	U+9127	鄧	src=GB2013
U+529D	劝	U+52F8	勸	src=GB2013,Var-to-Rep
U+53CC	双	U+96D9	雙	src=GB2013,Var-to-Rep
U+4E66	书	U+66F8	書	src=GB2013
U+681E	栞	U+520A	刊	src=GB2013,Var-to-Rep
U+51FB	击	U+64CA	擊	src=GB2013
U+6251	扑	U+64B2	撲	src=GB2013,Var-to-Rep
U+8282	节	U+7BC0	節	src=GB2013
U+672F	术	U+672F,U+8853	术術	var-also-canonical-elsewhere; reg-also-variant-elsewhere:术; multi-target (2); src=GB2013
U+5389	厉	U+53B2	厲	src=GB2013
U+4F48	佈	U+5E03	布	src=GB2013,Var-to-Rep
U+9F99	龙	U+9F8D	龍	src=GB2013
U+706D	灭	U+6EC5	滅	src=GB2013
U+8F67	轧	U+8ECB	軋	src=GB2013
U+4E1C	东	U+6771	東	src=GB2013,Var-to-Rep
U+4F54	佔	U+5360	占	src=GB2013,Var-to-Rep
U+5362	卢	U+76E7	盧	src=GB2013
U+4E1A	业	U+696D	業	src=GB2013
U+65E7	旧	U+820A	舊	src=GB2013,Var-to-Rep
U+5E05	帅	U+5E25	帥	src=GB2013
U+5F52	归	U+6B78	歸	src=GB2013,Var-to-Rep
U+53F6	叶	U+53F6,U+8449	叶葉	var-also-canonical-elsewhere; reg-also-variant-elsewhere:叶; multi-target (2); src=GB2013
U+7535	电	U+96FB	電	src=GB2013
U+53F7	号	U+865F	號	src=GB2013,Var-to-Rep
U+7947	祇	U+8879,U+53EA	衹只	reg-also-variant-elsewhere:衹只; multi-target (2); src=GB2013,Var-to-Rep
U+79D6	秖	U+8879,U+53EA	衹只	reg-also-variant-elsewhere:衹只; multi-target (2); src=GB2013,Var-to-Rep
U+53EA	只	U+96BB	隻	var-also-canonical-elsewhere; src=GB2013
U+53FD	叽	U+5630	嘰	src=GB2013
U+544C	呌	U+53EB	叫	src=GB2013,Var-to-Rep
U+6542	敂	U+53E9	叩	src=GB2013,Var-to-Rep
U+53F9	叹	U+5606	嘆	src=GB2013
U+6B4E	歎	U+5606	嘆	src=GB2013,Var-to-Rep
U+5184	冄	U+5189	冉	src=GB2013,Var-to-Rep
U+5775	坵	U+4E18	丘	src=GB2013,Var-to-Rep
U+50CA	僊	U+4ED9	仙	src=GB2013,Var-to-Rep
U+4EEC	们	U+5011	們	src=GB2013
U+4EEA	仪	U+5100	儀	var-also-canonical-elsewhere; src=GB2013
U+4E1B	丛	U+53E2	叢	src=GB2013
U+5C14	尔	U+723E	爾	src=GB2013,Var-to-Rep
U+5C12	尒	U+723E	爾	src=GB2013,Var-to-Rep
U+4E50	乐	U+6A02	樂	src=GB2013
U+6031	怱	U+5306	匆	src=GB2013,Var-to-Rep
U+60A4	悤	U+5306	匆	src=GB2013,Var-to-Rep
U+518C	册	U+518C,U+518A	册冊	reverse-dropped:冊→册 (Var-to-Rep preferred over GB2013); var-also-canonical-elsewhere; reg-also-variant-elsewhere:册; multi-target (2); src=GB2013,Var-to-Rep
U+5918	夘	U+536F	卯	src=GB2013,Var-to-Rep
U+623C	戼	U+536F	卯	src=GB2013,Var-to-Rep
U+5904	处	U+8655	處	src=GB2013
U+51AC	冬	U+51AC,U+9F15	冬鼕	var-also-canonical-elsewhere; reg-also-variant-elsewhere:冬; multi-target (2); src=GB2013
U+9E1F	鸟	U+9CE5	鳥	src=GB2013
U+52A1	务	U+52D9	務	src=GB2013
U+9965	饥	U+98E2,U+9951	飢饑	reg-also-variant-elsewhere:饑; multi-target (2); src=GB2013
U+51AF	冯	U+99AE	馮	src=GB2013
U+95EA	闪	U+9583	閃	src=GB2013
U+5170	兰	U+862D	蘭	src=GB2013
U+6C47	汇	U+532F,U+5F59	匯彙	multi-target (2); src=GB2013
U+6ED9	滙	U+532F	匯	src=GB2013,Var-to-Rep
U+5934	头	U+982D	頭	src=GB2013
U+6C49	汉	U+6F22	漢	src=GB2013
U+5B81	宁	U+5BE7	寧	src=GB2013
U+5BD5	寕	U+5BE7	寧	src=GB2013,Var-to-Rep
U+752F	甯	U+5BE7	寧	src=GB2013,Var-to-Rep
U+5B83	它	U+5B83,U+4ED6	它他	var-also-canonical-elsewhere; reg-also-variant-elsewhere:它; multi-target (2); src=GB2013,Var-to-Rep
U+7260	牠	U+5B83,U+4ED6	它他	reg-also-variant-elsewhere:它; multi-target (2); src=GB2013,Var-to-Rep
U+8BA8	讨	U+8A0E	討	src=GB2013
U+5199	写	U+5BEB	寫	src=GB2013
U+8BA9	让	U+8B93	讓	src=GB2013
U+793C	礼	U+79AE	禮	src=GB2013,Var-to-Rep
U+8BAD	训	U+8A13	訓	src=GB2013
U+8BAE	议	U+8B70	議	src=GB2013
U+8BAF	讯	U+8A0A	訊	src=GB2013
U+8BB0	记	U+8A18	記	src=GB2013
U+51FA	出	U+51FA,U+9F63	出齣	var-also-canonical-elsewhere; reg-also-variant-elsewhere:出; multi-target (2); src=GB2013
U+8FBD	辽	U+907C	遼	src=GB2013
U+59B3	妳	U+5976,U+4F60	奶你	multi-target (2); src=GB2013,Var-to-Rep
U+5B2D	嬭	U+5976,U+4F60	奶你	multi-target (2); src=GB2013,Var-to-Rep
U+8FB9	边	U+908A	邊	src=GB2013,Var-to-Rep
U+53D1	发	U+767C,U+9AEE	發髮	multi-target (2); src=GB2013
U+5723	圣	U+8056	聖	src=GB2013,Var-to-Rep
U+5BF9	对	U+5C0D	對	src=GB2013,Var-to-Rep
U+53F0	台	U+53F0,U+81FA,U+98B1,U+6AAF	台臺颱檯	var-also-canonical-elsewhere; reg-also-variant-elsewhere:台; multi-target (4); src=GB2013,Var-to-Rep
U+7EA0	纠	U+7CFE	糾	src=GB2013
U+7CFA	糺	U+7CFE	糾	src=GB2013,Var-to-Rep
U+4E1D	丝	U+7D72	絲	src=GB2013
U+52A8	动	U+52D5	動	src=GB2013
U+50CD	働	U+52D5	動	src=GB2013,Var-to-Rep
U+6443	摃	U+625B	扛	src=GB2013,Var-to-Rep
U+91E6	釦	U+6263	扣	src=GB2013,Var-to-Rep
U+6537	攷	U+8003	考	src=GB2013,Var-to-Rep
U+8A17	託	U+6258	托	src=GB2013,Var-to-Rep
U+5DE9	巩	U+978F	鞏	src=GB2013
U+6267	执	U+57F7	執	src=GB2013,Var-to-Rep
U+6269	扩	U+64F4	擴	src=GB2013
U+626B	扫	U+6383	掃	src=GB2013
U+573A	场	U+5834	場	src=GB2013
U+5872	塲	U+5834	場	src=GB2013,Var-to-Rep
U+626C	扬	U+63DA	揚	src=GB2013
U+656D	敭	U+63DA	揚	src=GB2013,Var-to-Rep
U+98BA	颺	U+63DA	揚	var-also-canonical-elsewhere; src=GB2013,Var-to-Rep
U+4E9A	亚	U+4E9E	亞	src=GB2013
U+673A	机	U+6A5F	機	src=GB2013,Var-to-Rep
U+6743	权	U+6B0A	權	src=GB2013
U+8FC7	过	U+904E	過	src=GB2013,Var-to-Rep
U+20542	𠕂	U+518D	再	src=GB2013,Var-to-Rep
U+20545	𠕅	U+518D	再	src=GB2013,Var-to-Rep
U+534F	协	U+5354	協	src=GB2013
U+538B	压	U+58D3	壓	src=GB2013
U+538C	厌	U+53AD	厭	src=GB2013
U+9875	页	U+9801	頁	src=GB2013
U+5938	夸	U+5938,U+8A87	夸誇	var-also-canonical-elsewhere; reg-also-variant-elsewhere:夸; multi-target (2); src=GB2013,Var-to-Rep
U+593A	夺	U+596A	奪	src=GB2013
U+8FBE	达	U+9054	達	src=GB2013
U+5939	夹	U+593E	夾	src=GB2013
