cp_hex	char	count
U+657A	敺	2718
U+66B1	暱	2718
U+51F8	凸	2717
U+6F8C	澌	2712
U+7486	璆	2712
U+68D5	棕	2711
U+6F11	漑	2706
U+29573	𩕳	2706
U+6516	攖	2703
U+6FC8	濈	2703
U+83E1	菡	2702
U+5CE1	峡	2699
U+6D99	涙	2698
U+7E7B	繻	2698
U+4EFD	份	2697
U+78D5	磕	2692
U+8EDB	軛	2692
U+744A	瑊	2691
U+5AB3	媳	2689
U+75CE	痎	2689
U+54C7	哇	2687
U+50E8	僨	2686
U+893B	褻	2686
U+3FD7	㿗	2681
U+6C9A	沚	2679
U+9173	酳	2677
U+5394	厔	2675
U+86C4	蛄	2675
U+684C	桌	2674
U+9ABC	骼	2674
U+2B26C	𫉬	2673
U+85DF	藟	2670
U+8DAF	趯	2670
U+914E	酎	2670
U+6746	杆	2669
U+6D33	洳	2669
U+7D15	紕	2669
U+8024	耤	2669
U+4F8F	侏	2667
U+84D6	蓖	2667
U+5BCD	寍	2666
U+34DB	㓛	2665
U+8411	萑	2665
U+995C	饜	2665
U+558B	喋	2660
U+568C	嚌	2658
U+8B16	謖	2658
U+52CD	勍	2656
U+8ABE	誾	2656
U+8F5D	轝	2655
U+7BFE	篾	2653
U+6D38	洸	2651
U+6712	朒	2644
U+7578	畸	2641
U+95A6	閦	2641
U+459D	䖝	2637
U+7370	獰	2633
U+4E81	亁	2629
U+6B16	欖	2629
U+9DC3	鷃	2627
U+5A29	娩	2625
U+7C00	簀	2621
U+929B	銛	2621
U+770E	眎	2620
U+7E00	縀	2614
U+6A87	檇	2612
U+848B	蒋	2610
U+6369	捩	2609
U+5D26	崦	2607
U+460C	䘌	2602
U+6296	抖	2602
U+7054	灔	2598
U+700D	瀍	2597
U+8E22	踢	2588
U+97E0	韠	2584
U+84C0	蓀	2582
U+5640	噀	2575
U+9674	陴	2575
U+7CFA	糺	2574
U+82E3	苣	2574
U+700F	瀏	2573
U+5A6A	婪	2571
U+613E	愾	2571
U+87B3	螳	2570
U+8011	耑	2559
U+7194	熔	2555
U+27EAB	𧺫	2555
U+833A	茺	2554
U+7357	獗	2553
U+97C8	韈	2553
U+6A89	檉	2552
U+9958	饘	2551
U+5A63	婣	2547
U+5F02	异	2546
U+7735	眵	2546
U+65F4	旴	2544
U+587C	塼	2543
U+79BB	离	2543
U+59F9	姹	2542
U+61B8	憸	2542
U+9EE7	黧	2538
U+909C	邜	2532
U+7AB3	窳	2530
U+873B	蜻	2530
U+5DA4	嶤	2529
U+6C8D	沍	2528
U+610E	愎	2526
U+6095	悕	2525
U+77FB	矻	2523
U+6995	榕	2522
U+876E	蝮	2519
U+9436	鐶	2519
U+892D	褭	2517
U+5563	啣	2516
U+90B6	邶	2513
U+61BA	憺	2509
U+7452	瑒	2509
U+80AA	肪	2507
U+35DA	㗚	2505
U+5015	倕	2505
U+5ABC	媼	2505
U+9104	鄄	2505
U+49FA	䧺	2499
U+882D	蠭	2497
U+7996	禖	2496
U+6E53	湓	2495
U+92E9	鋩	2495
U+9A41	驁	2489
U+3F72	㽲	2484
U+6770	杰	2483
U+5C2D	尭	2480
U+402E	䀮	2479
U+56FD	国	2479
U+8291	芑	2477
U+6A44	橄	2475
U+7D8C	綌	2472
U+95B4	閴	2472
U+554A	啊	2470
U+5D99	嶙	2470
U+3873	㡳	2469
U+85B3	薳	2469
U+8AFC	諼	2469
U+74F4	瓴	2468
U+7C83	粃	2467
U+91C3	釃	2467
U+5AC4	嫄	2460
U+868B	蚋	2460
U+8DEC	跬	2460
U+5FAF	徯	2459
U+5D4E	嵎	2456
U+5F59	彙	2454
U+9B4B	魋	2453
U+7F43	罃	2452
U+8803	蠃	2452
U+5EF1	廱	2451
U+6588	斈	2451
U+8C4C	豌	2450
U+935A	鍚	2449
U+75A2	疢	2445
U+614D	慍	2440
U+67C1	柁	2440
U+77BC	瞼	2439
U+7BDD	篝	2438
U+9E07	鸇	2438
U+678C	枌	2436
U+799C	禜	2434
U+807B	聻	2434
U+8F9E	辞	2433
U+7864	硤	2432
U+53EE	叮	2431
U+5920	夠	2427
U+90EB	郫	2427
U+6B0E	欎	2426
U+6CEA	泪	2423
U+6FA5	澥	2420
U+445B	䑛	2417
U+65B8	斸	2415
U+7AB0	窰	2412
U+7608	瘈	2409
U+9A4E	驎	2409
U+7752	睒	2408
U+7C34	簴	2406
U+8816	蠖	2405
U+5896	墖	2404
U+5939	夹	2403
U+9E9E	麞	2402
U+639E	掞	2396
U+64D7	擗	2394
U+992C	餬	2393
U+753B	画	2392
U+753A	町	2387
U+625B	扛	2386
U+778D	瞍	2386
U+9E1C	鸜	2386
U+50C7	僇	2385
U+5427	吧	2383
U+61AE	憮	2378
U+7DAF	綯	2378
U+3A40	㩀	2377
U+88A0	袠	2373
U+8E40	蹀	2373
U+89A6	覦	2367
U+58D6	壖	2363
U+7481	璁	2362
U+90FE	郾	2362
U+9F3D	鼽	2362
U+9F57	齗	2361
U+6E8D	溍	2358
U+5909	変	2356
U+71F9	燹	2355
U+6F2F	漯	2354
U+97B5	鞵	2353
U+7381	玁	2352
U+6100	愀	2351
U+7E88	纈	2349
U+5C22	尢	2348
U+6760	杠	2348
U+6D1F	洟	2345
U+5D15	崕	2341
U+85CB	藋	2339
U+5557	啗	2337
U+890E	褎	2337
U+7023	瀣	2335
U+84C6	蓆	2332
U+9DE6	鷦	2332
U+9D96	鶖	2330
U+6E0C	渌	2329
U+50F0	僰	2327
U+722C	爬	2326
U+9F17	鼗	2326
U+5D94	嶔	2325
U+79CA	秊	2325
U+55C6	嗆	2324
U+7F96	羖	2324
U+71FB	燻	2323
U+91BB	醻	2321
U+8EC4	軄	2320
U+5E30	帰	2316
U+6C50	汐	2316
U+962C	阬	2313
U+79A9	禩	2312
U+7602	瘂	2308
U+8F36	輶	2308
U+7B5E	筞	2305
U+80DB	胛	2305
U+5581	喁	2304
U+727E	牾	2303
U+791F	礟	2299
U+5303	匃	2297
U+66B5	暵	2297
U+95BE	閾	2297
U+7A91	窑	2293
U+9156	酖	2293
U+6A61	橡	2292
U+5000	倀	2291
U+56A7	嚧	2290
U+9D7E	鵾	2289
U+6FDE	濞	2284
U+8546	蕆	2284
U+98B6	颶	2284
U+7FC0	翀	2281
U+7889	碉	2279
U+54A5	咥	2277
U+78D1	磑	2276
U+77B6	瞶	2273
U+9002	适	2269
U+95E4	闤	2269
U+5C20	尠	2268
U+77A2	瞢	2267
U+812C	脬	2267
U+233CC	𣏌	2267
U+5FEE	忮	2266
U+9EDF	黟	2265
U+7D68	絨	2264
U+441C	䐜	2263
U+6293	抓	2263
U+56D9	囙	2262
U+8A56	詖	2262
U+61AC	憬	2261
U+870B	蜋	2258
U+98EA	飪	2256
U+5C2B	尫	2255
U+848D	蒍	2255
U+56D3	囓	2254
U+75CF	痏	2254
U+71B3	熳	2250
U+4F3E	伾	2249
U+8DD1	跑	2248
U+2759F	𧖟	2248
U+5DC2	巂	2245
U+81C1	臁	2244
U+736C	獬	2243
U+96A9	隩	2243
U+5DA2	嶢	2242
U+61DF	懟	2242
U+6214	戔	2241
U+4856	䡖	2240
U+62F7	拷	2240
U+5446	呆	2237
U+5BC0	寀	2235
U+8695	蚕	2235
U+78C5	磅	2233
U+6A9F	檟	2232
U+7085	炅	2232
U+8713	蜓	2232
U+8734	蜴	2232
U+9EAA	麪	2228
U+21C31	𡰱	2228
U+8A67	詧	2227
U+9C15	鰕	2226
U+66C8	曈	2223
U+92DF	鋟	2222
U+513A	儺	2221
U+5363	卣	2221
U+74B9	璹	2220
U+579C	垜	2218
U+7431	琱	2217
U+756E	畮	2217
U+936A	鍪	2217
U+5092	傒	2216
U+5AD3	嫓	2216
U+4F48	佈	2213
U+6E30	渰	2212
U+6067	恧	2211
U+702C	瀬	2211
U+5ED9	廙	2209
U+21A1A	𡨚	2209
U+78FD	磽	2208
U+9FA0	龠	2208
U+81DB	臛	2205
U+8344	荄	2202
U+60D4	惔	2200
U+6CC6	泆	2199
U+7D96	綖	2198
U+9DDF	鷟	2198
U+4F84	侄	2197
U+5396	厖	2194
U+5518	唘	2194
U+6EEC	滬	2194
U+5CCB	峋	2191
U+5E6C	幬	2191
U+6BC9	毉	2191
U+8669	虩	2191
U+8B8B	讋	2191
U+9847	顇	2191
U+9766	靦	2188
U+7B65	筥	2186
U+5B43	孃	2184
U+8F34	輴	2183
U+6B3B	欻	2182
U+52D4	勔	2181
U+5F5C	彜	2180
U+7416	琖	2180
U+6EF7	滷	2178
U+6470	摰	2176
U+6BB2	殲	2176
U+97A6	鞦	2175
U+90B2	邲	2174
U+8763	蝣	2170
U+9E95	麕	2167
U+667B	晻	2165
U+24656	𤙖	2165
U+76EC	盬	2164
U+21ED5	𡻕	2163
U+558F	喏	2161
U+6ADA	櫚	2160
U+8798	螘	2158
U+98B7	颷	2158
U+62EE	拮	2157
U+5586	喆	2156
U+5E70	幰	2155
U+6B6A	歪	2155
U+6FCA	濊	2154
U+4F76	佶	2153
U+5A55	婕	2153
U+7A0A	稊	2145
U+8E6C	蹬	2144
U+8B9D	讝	2142
U+7945	祅	2139
U+9481	钁	2139
U+5EE0	廠	2138
U+7DA3	綣	2138
U+6DFC	淼	2137
U+760B	瘋	2137
U+62B3	抳	2136
U+66C0	曀	2136
U+8A0F	訏	2135
U+5C69	屩	2133
U+9B4D	魍	2133
U+5FAC	徬	2132
U+7E0B	縋	2129
U+7E7E	繾	2128
U+8810	蠐	2128
U+38E5	㣥	2123
U+5CE5	峥	2122
U+6499	撙	2121
U+570A	圊	2118
U+72B4	犴	2117
U+235F3	𣗳	2117
U+743F	琿	2114
U+23E2A	𣸪	2113
U+87A3	螣	2112
U+4FFA	俺	2110
U+5AE0	嫠	2107
U+80D5	胕	2105
U+9914	餔	2103
U+8009	耉	2101
U+8B0C	謌	2101
U+534D	卍	2100
U+5B4C	孌	2100
U+9E15	鸕	2099
U+6FA8	澨	2098
U+9927	餧	2096
U+8C4B	豋	2095
U+4E31	丱	2092
U+84CF	蓏	2092
U+8124	脤	2090
U+6C54	汔	2087
U+95E0	闠	2087
U+784E	硎	2083
U+78FB	磻	2083
U+7AC6	竆	2083
U+5E1F	帟	2081
U+7274	牴	2081
U+6DE5	淥	2080
U+6805	栅	2079
U+7D32	紲	2079
U+8737	蜷	2078
U+5D12	崒	2077
U+36F0	㛰	2074
U+6BF1	毱	2074
U+80E0	胠	2074
U+5EDD	廝	2073
U+80FE	胾	2073
U+97E1	韡	2073
U+5184	冄	2072
U+96F1	雱	2072
U+584F	塏	2070
U+8237	舷	2070
U+606B	恫	2067
U+8298	芘	2066
U+5D10	崐	2065
U+749A	璚	2065
U+96AE	隮	2065
U+6495	撕	2059
U+50F1	僱	2057
U+91C5	釅	2057
U+92CF	鋏	2057
U+69E7	槧	2056
U+57A4	垤	2055
U+87CA	蟊	2055
U+64FB	擻	2053
U+86FA	蛺	2053
U+7CD5	糕	2051
U+9B43	魃	2050
U+9E87	麇	2048
U+7DAE	綮	2044
U+92FC	鋼	2044
U+97CE	韎	2044
U+5135	儵	2043
U+53F7	号	2043
U+564D	噍	2042
U+5AE3	嫣	2040
U+863C	蘼	2036
U+7451	瑑	2034
U+9835	頵	2033
U+5EDE	廞	2030
U+24BDD	𤯝	2028
U+574F	坏	2027
U+6C84	沄	2027
U+7F91	羑	2027
U+84C1	蓁	2027
U+96CA	雊	2027
U+23D40	𣵀	2027
U+7AAC	窬	2026
U+8130	脰	2025
U+5773	坳	2023
U+3775	㝵	2022
U+82BC	芼	2022
U+6CD6	泖	2021
U+6316	挖	2020
U+6B91	殑	2018
U+83A9	莩	2018
U+6473	摳	2017
U+895C	襜	2017
U+6957	楗	2014
U+91A4	醤	2012
U+74C8	瓈	2010
U+7FBC	羼	2010
U+7796	瞖	2009
U+7F82	羂	2009
U+56B2	嚲	2008
U+60EC	惬	2008
U+8706	蜆	2008
U+6722	朢	2005
U+6AAE	檮	2005
U+7ABF	窿	2004
U+8233	舳	2001
U+7A32	稲	2000
U+8459	葙	1999
U+73CE	珎	1998
U+8F9D	辝	1998
U+9DE9	鷩	1997
U+5612	嘒	1995
U+992E	餮	1995
U+9B10	鬐	1995
U+59D0	姐	1994
U+9E02	鸂	1992
U+44FB	䓻	1991
U+9191	醑	1991
U+6487	撇	1990
U+56AD	嚭	1989
U+8117	脗	1989
U+5470	呰	1988
U+6FD8	濘	1988
U+7B2E	笮	1987
U+6F4F	潏	1986
U+5D4B	嵋	1985
U+6B8D	殍	1983
U+5D84	嶄	1981
U+746D	瑭	1981
U+9A03	騃	1981
U+601C	怜	1978
U+7589	疉	1977
U+77F0	矰	1977
U+5AAE	媮	1976
U+8656	虖	1974
U+8725	蜥	1974
U+95D1	闑	1974
U+5A3C	娼	1973
U+8760	蝠	1973
U+542D	吭	1972
U+7734	眴	1972
U+5368	卨	1971
U+9D5C	鵜	1971
U+5ADA	嫚	1970
U+66CF	曏	1969
U+3B9A	㮚	1967
U+6C02	氂	1967
U+9D12	鴒	1966
U+8FEF	迯	1965
U+2000D	𠀍	1965
U+75F1	痱	1964
U+90B0	邰	1963
U+6759	杙	1961
U+793F	礿	1961
U+8C99	貙	1961
U+54B1	咱	1960
U+7D1E	紞	1959
U+8F25	輥	1959
U+9F37	鼷	1959
U+74DB	瓛	1958
U+5002	倂	1954
U+653A	攺	1954
U+4F7B	佻	1953
U+9B4E	魎	1953
U+5DC7	巇	1952
U+872E	蜮	1951
U+39AF	㦯	1950
U+6CF2	泲	1948
U+9186	醆	1948
U+8698	蚘	1946
U+5278	剸	1945
U+9ECC	黌	1945
U+8936	褶	1943
U+60F8	惸	1942
U+5680	嚀	1938
U+7F65	罥	1938
U+7043	灃	1937
U+5B82	宂	1936
U+5D4A	嵊	1936
U+92CC	鋌	1936
U+249BA	𤦺	1936
U+502E	倮	1935
U+58CD	壍	1935
U+8562	蕢	1935
U+6F2D	漭	1934
U+34B5	㒵	1932
U+5FEA	忪	1932
U+54B7	咷	1931
U+7D6B	絫	1931
U+8890	袐	1930
U+770A	眊	1929
U+5C94	岔	1928
U+532D	匭	1927
U+6930	椰	1927
U+6C05	氅	1927
U+4F7D	佽	1926
U+9174	酴	1924
U+9833	頳	1924
U+9F3E	鼾	1924
U+780D	砍	1922
U+54A6	咦	1921
U+9F72	齲	1921
U+86C9	蛉	1919
U+50CE	僎	1918
U+7AD1	竑	1917
U+5213	刓	1916
U+68D6	棖	1914
U+74AA	璪	1914
U+7D59	絙	1914
U+8E60	蹠	1913
U+972A	霪	1910
U+81C8	臈	1909
U+3551	㕑	1908
U+7A63	穣	1907
U+9945	饅	1907
U+4E2B	丫	1906
U+80FB	胻	1904
U+89F1	觱	1904
U+67B0	枰	1902
U+5669	噩	1900
U+578D	垍	1900
U+4EE1	仡	1898
U+6DDD	淝	1898
U+7FF1	翱	1897
U+6945	楅	1896
U+6B24	欤	1896
U+3A66	㩦	1895
U+6E63	湣	1893
U+9820	頠	1893
U+8425	营	1891
U+7A0C	稌	1890
U+686E	桮	1888
U+9DC0	鷀	1885
U+93D6	鏖	1884
U+9129	鄩	1883
U+68F1	棱	1882
U+9283	銃	1882
U+9DEF	鷯	1882
U+931A	錚	1880
U+87AC	螬	1878
U+8FD5	迕	1876
U+60E8	惨	1875
U+8573	蕳	1875
U+8CD5	賕	1873
U+8F54	轔	1873
U+5C3D	尽	1871
U+6831	栱	1871
U+695B	楛	1870
U+6A3A	樺	1869
U+79ED	秭	1869
U+91B2	醲	1864
U+7506	甆	1863
U+6D31	洱	1862
U+59E2	姢	1860
U+8E27	踧	1860
U+6D3F	洿	1859
U+7CF8	糸	1859
U+880F	蠏	1858
U+7D47	絇	1856
U+8B29	謩	1855
U+6343	捃	1854
U+4561	䕡	1853
U+7521	甡	1852
U+8548	蕈	1851
U+8B26	謦	1851
U+614C	慌	1848
U+53AB	厫	1847
U+8E77	蹷	1847
U+9A2D	騭	1844
U+8B9F	讟	1842
U+82F9	苹	1840
U+677B	杻	1839
U+35D6	㗖	1838
U+55C3	嗃	1838
U+85F3	藳	1836
U+528C	劌	1832
U+666C	晬	1832
U+7162	煢	1832
U+98B8	颸	1832
U+83FC	菼	1831
U+9D02	鴂	1830
U+626F	扯	1826
U+67C5	柅	1826
U+642F	搯	1825
U+6AE8	櫨	1825
U+5C67	屧	1824
U+5EC4	廄	1822
U+72A8	犨	1821
U+7D9D	綝	1821
U+9F55	齕	1820
U+5A47	婇	1817
U+81D9	臙	1817
U+6F92	澒	1816
U+7490	璐	1816
U+8E50	蹐	1815
U+26615	𦘕	1815
U+60B1	悱	1811
U+87E3	蟣	1810
U+5466	呦	1809
U+6841	桁	1809
U+840F	萏	1809
U+8DFD	跽	1809
U+7E32	縲	1806
U+22F97	𢾗	1805
U+5F44	彄	1803
U+80DA	胚	1802
U+9F2F	鼯	1802
U+75E4	痤	1800
U+9145	酅	1800
U+6969	楩	1799
U+79A1	禡	1799
U+70D6	烖	1796
U+6EFB	滻	1794
U+4F81	侁	1791
U+4CAD	䲭	1789
U+7BD4	篔	1789
U+6883	梃	1788
U+6C87	沇	1785
U+7157	煗	1785
U+2B006	𫀆	1785
U+977A	靺	1784
U+7B31	笱	1783
U+8653	虓	1783
U+9025	逥	1783
U+51E8	凨	1782
U+6589	斉	1782
U+791E	礞	1782
U+5EC6	廆	1780
U+7BEA	篪	1779
U+22649	𢙉	1779
U+8312	茒	1778
U+70CA	烊	1773
U+6207	戇	1771
U+9DAC	鶬	1770
U+51FE	凾	1769
U+7352	獒	1769
U+58CE	壎	1768
U+6DB4	涴	1768
U+84B1	蒱	1767
U+7A33	稳	1766
U+7115	焕	1765
U+7241	牁	1765
U+5080	傀	1764
U+88DB	裛	1764
U+3AC4	㫄	1762
U+92CB	鋋	1762
U+97C6	韆	1762
U+72D6	狖	1761
U+994D	饍	1760
U+8580	薀	1757
U+9D69	鵩	1757
U+6165	慥	1756
U+67BB	枻	1756
U+7A78	穸	1756
U+9941	饁	1756
U+5635	嘵	1755
U+5F22	弢	1754
U+69F2	槲	1754
U+20587	𠖇	1754
U+5A7C	婼	1753
U+6F8E	澎	1752
U+89A1	覡	1752
U+51CA	凊	1749
U+6146	慆	1749
U+8759	蝙	1749
U+947C	鑼	1749
U+6B4A	歊	1747
U+900C	逌	1747
U+20860	𠡠	1745
U+80C6	胆	1744
U+473F	䜿	1741
U+6B43	歃	1741
U+8812	蠒	1741
U+7BA7	箧	1740
U+9147	酇	1739
U+610A	愊	1738
U+786E	确	1736
U+53A4	厤	1735
U+6E98	溘	1735
U+8639	蘹	1735
U+9045	遅	1735
U+93CA	鏊	1734
U+9C0C	鰌	1734
U+59C9	姉	1729
U+6ECF	滏	1729
U+784F	硏	1729
U+4787	䞇	1726
U+5F42	彂	1723
U+9AC3	髃	1722
U+4F40	佀	1720
U+6D3C	洼	1718
U+8AF4	諴	1717
U+931E	錞	1717
U+99C9	駉	1717
U+8D6C	赬	1716
U+99C8	駈	1716
U+6F37	漷	1714
U+7B72	筲	1714
U+9F03	鼃	1714
U+83A8	莨	1713
U+9798	鞘	1713
U+978C	鞌	1712
U+86AA	蚪	1711
U+3A41	㩁	1710
U+89F3	觳	1709
U+72ED	狭	1707
U+919E	醞	1706
U+7350	獐	1705
U+7CE2	糢	1705
U+9117	鄗	1703
U+59E7	姧	1702
U+3D9A	㶚	1701
U+831F	茟	1700
U+3432	㐲	1699
U+6534	攴	1699
U+9F45	齅	1699
U+6B60	歠	1698
U+6112	愒	1697
U+6174	慴	1697
U+8740	蝀	1696
U+5E6A	幪	1694
U+637D	捽	1694
U+375B	㝛	1693
U+809C	肜	1693
U+8F58	轘	1693
U+928D	銍	1692
U+531C	匜	1690
U+5CB5	岵	1690
U+8C85	貅	1690
U+93F9	鏹	1690
U+991A	餚	1690
U+9741	靁	1689
U+769A	皚	1687
U+6959	楙	1686
U+870E	蜎	1686
U+769D	皝	1685
U+7F4B	罋	1685
U+9866	顦	1684
U+80B0	肰	1680
U+8801	蠁	1678
U+88F5	裵	1677
U+74A1	璡	1676
U+8F1B	輛	1673
U+5476	呶	1672
U+9D92	鶒	1672
U+528E	劎	1670
U+9370	鍰	1670
U+8EF7	軷	1669
U+859D	薝	1667
U+28556	𨕖	1665
U+5274	剴	1664
U+6081	悁	1663
U+7DCD	緍	1663
U+53CC	双	1661
U+8555	蕕	1660
U+5CA2	岢	1659
U+7708	眈	1658
U+8210	舐	1658
U+6F10	漐	1657
U+7A02	稂	1654
U+553C	唼	1653
U+91B8	醸	1653
U+97DD	韝	1653
U+8F39	輹	1652
U+67BF	枿	1651
U+9C54	鱔	1651
U+93CC	鏌	1650
U+9AB5	骵	1650
U+9E9B	麛	1650
U+45EA	䗪	1645
U+6D91	涑	1645
U+9CF2	鳲	1645
U+6E22	渢	1643
U+5AE6	嫦	1641
U+9DE5	鷥	1640
U+8308	茈	1639
U+97D0	韐	1639
U+59EE	姮	1638
U+7736	眶	1638
U+82B2	芲	1638
U+97C1	韁	1638
U+4FF5	俵	1637
U+8E16	踖	1637
U+905D	遝	1637
U+7CBC	粼	1636
U+563D	嘽	1635
U+6C33	氳	1635
U+719B	熛	1635
U+9F15	鼕	1635
U+912E	鄮	1634
U+62AC	抬	1632
U+9B34	鬴	1629
U+9E91	麑	1629
U+6FA6	澦	1628
U+7187	熇	1627
U+8E92	躒	1627
U+9414	鐔	1625
U+3779	㝹	1624
U+6E51	湑	1622
U+95A7	閧	1622
U+8E14	踔	1621
U+6C4A	汊	1620
U+83B5	莵	1618
U+54BF	咿	1617
U+6844	桄	1617
U+6D6F	浯	1617
U+6662	晢	1616
U+8A7F	詿	1616
U+59BA	妺	1614
U+39B2	㦲	1613
U+6C14	气	1612
U+9C3B	鰻	1612
U+6A05	樅	1611
U+7726	眦	1608
U+967F	陿	1608
U+7942	祂	1606
U+91BF	醿	1606
U+9B37	鬷	1605
U+7702	眂	1603
U+970E	霎	1603
U+7822	砢	1602
U+818B	膋	1602
U+7648	癈	1600
U+77A0	瞠	1596
U+547E	呾	1595
U+6909	椉	1595
U+5ECB	廋	1594
U+8EAA	躪	1594
U+9F76	齶	1594
U+97CD	韍	1591
U+995F	饟	1590
U+6F19	漙	1589
U+791C	礜	1588
U+755E	畞	1587
U+7C53	籓	1585
U+7E50	繐	1583
U+5AF5	嫵	1579
U+79F8	秸	1578
U+8FEE	迮	1578
U+2C79E	𬞞	1577
U+93DF	鏟	1576
U+7F7E	罾	1575
U+8ADD	諝	1575
U+7B53	筓	1574
U+590D	复	1573
U+8030	耰	1573
U+82A3	芣	1573
U+894C	襌	1573
U+9371	鍱	1573
U+91ED	釭	1572
U+5605	嘅	1570
U+82E8	苨	1568
U+24F89	𤾉	1568
U+7277	牷	1566
U+5298	劘	1565
U+9814	頔	1565
U+8382	莂	1563
U+6832	栲	1561
U+6E46	湆	1560
U+8622	蘢	1560
U+7FFE	翾	1559
U+8ED4	軔	1555
U+3AE4	㫤	1554
U+85B9	薹	1553
U+5A77	婷	1552
U+664C	晌	1552
U+105092		1552
U+6595	斕	1551
U+721D	爝	1551
U+6C0D	氍	1550
U+6403	搃	1549
U+9FA2	龢	1549
U+5637	嘷	1548
U+653D	攽	1548
U+721A	爚	1547
U+81DD	臝	1547
U+936E	鍮	1547
U+4E3C	丼	1546
U+5014	倔	1546
U+5471	呱	1546
U+5EC8	廈	1546
U+9360	鍠	1545
U+5536	唶	1544
U+51E6	処	1542
U+56E4	囤	1542
U+7160	煠	1542
U+7512	甒	1541
U+68FB	棻	1540
U+5E40	幀	1538
U+8618	蘘	1537
U+3B25	㬥	1536
U+7131	焱	1536
U+7C55	籕	1536
U+59B3	妳	1535
U+7C5E	籞	1533
U+8FCD	迍	1532
U+54AE	咮	1530
U+8819	蠙	1530
U+5D1A	崚	1529
U+9997	馗	1528
U+9A05	騅	1528
U+629D	抝	1526
U+93A1	鎡	1525
U+895E	襞	1522
U+95A0	閠	1520
U+656D	敭	1519
U+785C	硜	1518
U+7A80	窀	1518
U+6C78	汸	1517
U+99C3	駃	1517
U+9749	靉	1514
U+6D5E	浞	1513
U+7C09	簉	1513
U+6CEC	泬	1512
U+6271	扱	1511
U+9B8E	鮎	1510
U+6F98	澘	1509
U+8E3D	踽	1509
U+9169	酩	1509
U+8946	襆	1503
U+9157	酗	1503
U+905F	遟	1501
U+7994	禔	1500
U+60A4	悤	1499
U+79A0	禠	1496
U+552B	唫	1495
U+7F73	罳	1494
U+8960	襠	1494
U+75DF	痟	1493
U+525E	剞	1492
U+7516	甖	1492
U+5D92	嶒	1490
U+74B2	璲	1490
U+808E	肎	1489
U+7213	爓	1488
U+7067	灧	1487
U+7284	犄	1486
U+7FC3	翃	1486
U+5096	傖	1485
U+761D	瘝	1484
U+6755	杕	1483
U+9631	阱	1482
U+98AD	颭	1482
U+7D45	絅	1480
U+7386	玆	1477
U+774E	睎	1477
U+88B7	袷	1477
U+6DF6	淶	1475
U+7517	甗	1475
U+8F53	轓	1475
U+9931	餱	1475
U+9F77	齷	1472
U+548B	咋	1471
U+775A	睚	1469
U+79AC	禬	1469
U+5282	劂	1468
U+66E1	曡	1468
U+97A8	鞨	1468
U+4D21	䴡	1467
U+5FDE	忞	1467
U+90D1	郑	1466
U+59EB	姫	1465
U+69F1	槱	1464
U+28FFD	𨿽	1464
U+7E15	縕	1462
U+7E70	繰	1462
U+8D8B	趋	1461
U+576F	坯	1459
U+20AED	𠫭	1459
U+4F96	侖	1458
U+979A	鞚	1457
U+67F6	柶	1456
U+5244	剄	1455
U+566D	噭	1455
U+6D11	洑	1455
U+619D	憝	1454
U+6D0C	洌	1454
U+547F	呿	1453
U+634E	捎	1453
U+778C	瞌	1453
U+938C	鎌	1452
U+9A04	騄	1452
U+89DD	觝	1451
U+82FD	苽	1450
U+84B4	蒴	1449
U+5B19	嬙	1447
U+9A19	騙	1447
U+96D8	雘	1446
U+8855	衕	1445
U+83EA	菪	1444
U+772F	眯	1443
U+9A24	騤	1443
U+5A35	娵	1442
U+6911	椑	1442
U+55DB	嗛	1441
U+704A	灊	1441
U+5D3F	崿	1438
U+73AD	玭	1438
U+7AC1	竁	1438
U+5D1E	崞	1435
U+6DEF	淯	1434
U+5344	卄	1433
U+8534	蔴	1433
U+9477	鑷	1433
U+4D5F	䵟	1432
U+558A	喊	1432
U+3A02	㨂	1431
U+775F	睟	1431
U+4FFB	俻	1430
U+54F7	哷	1428
U+887A	衺	1426
U+8E09	踉	1426
U+765C	癜	1424
U+60D9	惙	1422
U+9136	鄶	1422
U+2C5CB	𬗋	1422
U+95BF	閿	1421
U+59DE	姞	1419
U+713C	焼	1419
U+74DE	瓞	1419
U+914F	酏	1419
U+55FE	嗾	1418
U+831D	茝	1417
U+936C	鍬	1417
U+90F3	郳	1416
U+5474	呴	1415
U+80EC	胬	1415
U+6239	戹	1413
U+5848	塈	1412
U+5DB4	嶴	1412
U+63A6	掦	1412
U+5205	刅	1410
U+97CC	韌	1410
U+9E11	鸑	1407
U+84BB	蒻	1406
U+9E7A	鹺	1406
U+9F4F	齏	1406
U+914A	酊	1405
U+2805D	𨁝	1405
U+736B	獫	1404
U+5979	她	1403
U+76B0	皰	1403
U+9683	隃	1403
U+5218	刘	1402
U+7728	眨	1402
U+9DC7	鷇	1402
U+7BF2	篲	1400
U+6BFF	毿	1399
U+79AD	禭	1399
U+9183	醃	1399
U+8D73	赳	1397
U+5486	咆	1396
U+9F41	齁	1395
U+555A	啚	1394
U+5C28	尨	1394
U+64E7	擧	1394
U+6205	戅	1393
U+8FC1	迁	1393
U+923A	鈺	1392
U+7FFD	翽	1389
U+816F	腯	1389
U+820B	舋	1389
U+8771	蝱	1388
U+6A11	樑	1387
U+6F94	澔	1387
U+7D41	絁	1387
U+8F0A	輊	1387
U+76D4	盔	1386
