namespace	entity	count
kr	&KR1664;	205
kr	&KR0977;	204
kr	&KR0974;	204
kr	&KR0891;	203
kr	&KR0888;	203
kr	&KR0882;	201
kr	&KR0938;	201
kr	&KR0899;	201
kr	&KR0916;	201
kr	&KR0954;	201
kr	&KR0870;	200
kr	&KR0308;	200
kr	&KR0868;	199
kr	&KR0927;	199
kr	&KR0178;	199
kr	&KR0874;	198
kr	&KR0897;	198
kr	&KR0865;	198
kr	&KR0925;	197
kr	&KR0881;	196
kr	&KR0289;	196
kr	&KR0907;	195
kr	&KR1044;	195
kr	&KR0847;	195
kr	&KR0328;	195
kr	&KR0877;	194
kr	&KR0909;	194
kr	&KR0363;	194
kr	&KR0876;	193
kr	&KR0922;	193
kr	&KR0890;	193
kr	&KR0810;	193
kr	&KR0975;	192
kr	&KR0136;	191
kr	&KR0894;	190
kr	&KR1029;	190
kr	&KR0973;	190
kr	&KR0915;	189
kr	&KR0866;	188
kr	&KR0919;	188
kr	&KR0942;	188
kr	&KR0902;	187
kr	&KR1247;	187
kr	&KR0214;	187
kr	&KR0022;	186
kr	&KR0312;	186
kr	&KR0879;	185
kr	&KR0788;	185
kr	&KR1191;	185
kr	&KR0037;	185
kr	&KR1004;	185
kr	&KR0929;	184
kr	&KR0968;	184
kr	&KR0253;	184
kr	&KR0945;	183
kr	&KR0957;	183
kr	&KR1315;	183
kr	&KR0886;	183
kr	&KR0062;	183
kr	&KR0946;	182
kr	&KR0911;	181
kr	&KR0933;	180
kr	&KR3406;	180
kr	&KR0949;	179
kr	&KR1075;	179
kr	&KR0222;	179
kr	&KR0233;	179
kr	&KR3033;	179
kr	&KR1281;	178
kr	&KR1015;	178
kr	&KR0978;	177
kr	&KR0327;	177
kr	&KR0148;	177
kr	&KR0267;	177
kr	&KR0905;	176
kr	&KR0950;	176
kr	&KR0904;	175
kr	&KR0963;	175
kr	&KR0958;	175
kr	&KR0182;	175
kr	&KR1016;	174
kr	&KR0893;	174
kr	&KR1319;	173
kr	&KR0906;	172
kr	&KR0971;	172
kr	&KR1847;	170
kr	&KR1132;	170
kr	&KR0117;	170
kr	&KR0393;	170
kr	&KR1006;	169
kr	&KR1051;	169
kr	&KR0264;	169
kr	&KR1002;	168
kr	&KR1041;	168
kr	&KR0918;	167
kr	&KR0898;	167
kr	&KR0912;	167
kr	&KR0014;	167
kr	&KR0988;	166
kr	&KR1434;	166
kr	&KR0239;	166
kr	&KR1031;	166
kr	&KR1020;	165
kr	&KR0995;	164
kr	&KR1036;	164
kr	&KR0979;	164
kr	&KR0858;	164
kr	&KR1032;	164
kr	&KR0984;	164
kr	&KR0500;	164
kr	&KR0964;	163
kr	&KR1047;	163
kr	&KR1061;	162
kr	&KR0994;	161
kr	&KR3579;	161
kr	&KR0934;	160
kr	&KR0115;	160
kr	&KR0955;	159
kr	&KR0985;	159
kr	&KR1012;	159
kr	&KR1254;	159
kr	&KR0987;	158
kr	&KR0951;	158
kr	&KR1007;	158
kr	&KR0211;	158
kr	&KR1042;	157
kr	&KR0247;	157
kr	&KR0347;	157
kr	&KR0972;	156
kr	&KR1410;	156
kr	&KR0004;	156
kr	&KR1039;	155
kr	&KR1097;	154
kr	&KR1248;	154
kr	&KR1120;	154
kr	&KR1354;	153
kr	&KR1066;	153
kr	&KR0993;	153
kr	&KR1045;	152
kr	&KR0999;	152
kr	&KR1070;	152
kr	&KR1276;	152
kr	&KR1064;	152
kr	&KR0284;	152
kr	&KR1038;	151
kr	&KR0939;	151
kr	&KR1014;	151
kr	&KR1390;	151
kr	&KR0243;	151
kr	&KR0127;	151
kr	&KR1065;	150
kr	&KR1005;	150
kr	&KR1265;	149
kr	&KR1053;	149
kr	&KR1095;	149
kr	&KR0215;	149
kr	&KR1078;	148
kr	&KR1021;	148
kr	&KR0930;	148
kr	&KR1123;	148
kr	&KR1017;	148
kr	&KR1048;	148
kr	&KR0457;	148
kr	&KR1163;	147
kr	&KR1011;	147
kr	&KR1220;	146
kr	&KR0997;	146
kr	&KR1137;	146
kr	&KR1010;	146
kr	&KR0129;	146
kr	&KR5359;	146
kr	&KR1019;	145
kr	&KR1448;	145
kr	&KR1055;	145
kr	&KR1069;	144
kr	&KR0970;	144
kr	&KR0420;	144
kr	&KR1033;	143
kr	&KR1298;	143
kr	&KR0910;	143
kr	&KR0903;	143
kr	&KR1018;	142
kr	&KR1734;	142
kr	&KR1143;	142
kr	&KR0274;	142
kr	&KR0252;	142
kr	&KR1082;	142
kr	&KR1457;	141
kr	&KR1351;	141
kr	&KR1052;	141
kr	&KR1114;	141
kr	&KR1122;	140
kr	&KR1081;	140
kr	&KR1025;	140
kr	&KR0116;	140
kr	&KR1024;	139
kr	&KR1060;	139
kr	&KR1085;	139
kr	&KR1083;	139
kr	&KR1219;	139
kr	&KR1008;	138
kr	&KR1073;	138
kr	&KR1043;	138
kr	&KR0292;	138
kr	&KR1129;	138
kr	&KR1062;	137
kr	&KR1570;	137
kr	&KR0961;	137
kr	&KR1832;	137
kr	&KR1138;	137
kr	&KR1013;	137
kr	&KR1195;	136
kr	&KR0996;	136
kr	&KR1127;	136
kr	&KR1217;	136
kr	&KR1026;	136
kr	&KR1110;	135
kr	&KR1177;	135
kr	&KR1403;	135
kr	&KR1071;	134
kr	&KR1086;	134
kr	&KR1365;	134
kr	&KR1595;	134
kr	&KR1046;	134
kr	&KR0374;	134
kr	&KR0351;	134
kr	&KR1171;	133
kr	&KR1139;	133
kr	&KR0965;	133
kr	&KR1140;	133
kr	&KR1266;	133
kr	&KR0430;	133
kr	&KR1559;	132
kr	&KR0932;	132
kr	&KR1155;	132
kr	&KR0140;	132
kr	&KR1076;	131
kr	&KR1834;	131
kr	&KR1763;	131
kr	&KR1887;	131
kr	&KR0449;	131
kr	&KR0213;	131
kr	&KR0369;	131
kr	&KR5365;	131
kr	&KR1102;	130
kr	&KR1089;	130
kr	&KR1159;	130
kr	&KR0106;	130
kr	&KR1109;	129
kr	&KR1393;	129
kr	&KR1151;	129
kr	&KR1150;	128
kr	&KR1353;	128
kr	&KR1205;	128
kr	&KR1088;	128
kr	&KR1057;	128
kr	&KR0960;	128
kr	&KR0990;	128
kr	&KR1237;	128
kr	&KR0966;	128
kr	&KR0176;	128
kr	&KR1223;	127
kr	&KR1030;	127
kr	&KR1184;	127
kr	&KR1208;	127
kr	&KR1235;	127
kr	&KR1173;	127
kr	&KR1270;	127
kr	&KR1280;	126
kr	&KR1105;	126
kr	&KR1362;	126
kr	&KR1148;	126
kr	&KR1885;	126
kr	&KR1128;	126
kr	&KR1180;	125
kr	&KR1161;	125
kr	&KR1160;	125
kr	&KR1445;	125
kr	&KR1077;	125
kr	&KR0017;	125
kr	&KR0138;	125
kr	&KR1092;	124
kr	&KR1207;	124
kr	&KR1222;	124
kr	&KR1264;	124
kr	&KR1169;	124
kr	&KR0122;	124
kr	&KR1124;	123
kr	&KR1179;	123
kr	&KR1326;	123
kr	&KR1101;	123
kr	&KR1116;	123
kr	&KR1168;	123
kr	&KR1665;	123
kr	&KR1414;	123
kr	&KR1395;	123
kr	&KR1430;	123
kr	&KR1176;	123
kr	&KR0482;	123
kr	&KR1454;	122
kr	&KR0431;	122
kr	&KR1141;	121
kr	&KR1090;	121
kr	&KR1104;	121
kr	&KR1133;	121
kr	&KR0201;	121
kr	&KR0210;	121
kr	&KR1534;	121
kr	&KR1464;	121
kr	&KR1103;	120
kr	&KR1050;	120
kr	&KR1398;	120
kr	&KR1214;	120
kr	&KR1185;	120
kr	&KR1100;	120
kr	&KR1678;	120
kr	&KR1204;	120
kr	&KR0016;	120
kr	&KR0355;	120
kr	&KR1152;	119
kr	&KR1290;	119
kr	&KR1058;	119
kr	&KR1314;	119
kr	&KR1293;	119
kr	&KR1190;	119
kr	&KR1209;	118
kr	&KR1360;	118
kr	&KR1063;	118
kr	&KR1113;	118
kr	&KR1126;	118
kr	&KR1181;	118
kr	&KR1243;	118
kr	&KR1194;	117
kr	&KR1142;	117
kr	&KR1084;	117
kr	&KR0015;	117
kr	&KR1193;	116
kr	&KR1212;	116
kr	&KR1352;	116
kr	&KR1131;	116
kr	&KR1415;	116
kr	&KR1165;	115
kr	&KR1027;	115
kr	&KR1135;	115
kr	&KR0099;	115
kr	&KR0225;	115
kr	&KR1242;	114
kr	&KR0132;	114
kr	&KR1134;	113
kr	&KR1108;	113
kr	&KR1224;	113
kr	&KR1153;	113
kr	&KR1261;	113
kr	&KR1394;	113
kr	&KR1166;	112
kr	&KR1158;	112
kr	&KR1233;	112
kr	&KR1211;	112
kr	&KR0467;	112
kr	&KR0059;	112
kr	&KR1149;	111
kr	&KR1566;	111
kr	&KR1106;	111
kr	&KR2138;	111
kr	&KR1455;	111
kr	&KR0767;	111
kr	&KR1245;	111
kr	&KR0196;	111
kr	&KR1035;	111
kr	&KR0356;	111
kr	&KR0206;	111
kr	&KR1202;	110
kr	&KR1382;	110
kr	&KR1213;	110
kr	&KR0343;	110
kr	&KR1268;	110
kr	&KR1677;	109
kr	&KR0521;	109
kr	&KR1753;	108
kr	&KR1174;	108
kr	&KR1416;	108
kr	&KR1228;	108
kr	&KR1170;	108
kr	&KR1094;	107
kr	&KR1423;	107
kr	&KR1154;	107
kr	&KR1271;	107
kr	&KR1227;	107
kr	&KR1278;	107
kr	&KR0286;	107
kr	&KR1201;	106
kr	&KR1259;	106
kr	&KR1221;	106
kr	&KR1263;	106
kr	&KR1585;	106
kr	&KR1344;	106
kr	&KR1282;	106
kr	&KR1754;	106
kr	&KR1239;	106
kr	&KR1556;	106
kr	&KR1246;	106
kr	&KR0186;	106
kr	&KR1253;	105
kr	&KR1512;	105
kr	&KR1249;	105
kr	&KR1689;	105
kr	&KR0491;	105
kr	&KR0250;	105
kr	&KR1391;	105
kr	&KR1386;	104
kr	&KR1497;	104
kr	&KR1279;	104
